name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,Nuclear Power Corporation of India Limited (NPCIL),9410.0,1.1070588235294119
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),200.0,0.023529411764705882
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Other Autonomous Bodies,3140.4,0.3694588235294118
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Contribution to International Atomic Energy Agency,55.0,0.006470588235294118
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Development,R&D projects of Bhabha Atomic Research Centre (BARC),1012.9,0.11916470588235295
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Development,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),221.75,0.026088235294117648
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Development,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),214.41,0.02522470588235294
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Development,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),140.69,0.016551764705882353
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Development,Grants to other Institutions,100.0,0.011764705882352941
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Heavy Water Facilities,Feedstock,1599.47,0.18817294117647057
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Heavy Water Facilities,Improvement/Modifications of Heavy water projects,50.23,0.005909411764705882
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Development Projects,,839.68,0.09878588235294117
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Fuel Recycle Projects (NRB),,805.21,0.09473058823529412
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Nuclear Fuel Fabrication Projects,,763.61,0.0898364705882353
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,,515.5,0.060647058823529415
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Nuclear Power Projects,,442.28,0.05203294117647059
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industries and Minerals Projects,,85.25,0.010029411764705882
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,R&D projects of Variable Energy Cyclotron Centre (VECC),,73.62,0.008661176470588235
"Department of Atomic Energy
Demand No. 3
Atomic Energy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Radiation and Isotopes Project (BRIT),,44.14,0.005192941176470588
