name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Servicing of loans from NABARD under PMKSY,Payment of interest for NABARD loan to NWDA under PMKSY,2200.0,0.25882352941176473
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Servicing of loans from NABARD under PMKSY,Repayment of principal for NABARD loan to NWDA under PMKSY,1025.0,0.12058823529411765
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Servicing of loans from NABARD under PMKSY,Interest subvention for NABARD to States under PMKSY,650.0,0.07647058823529412
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Accelerated Irrigation Benefit Programme and National/Special Projects,,3122.23,0.3673211764705882
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Flood Management and Border Areas Programme(FMBAP),,450.0,0.052941176470588235
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Command Area Development And Water Management,,400.0,0.047058823529411764
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Special Package for Irrigation Projects to address agrarian distress in districts of Vidarbha and Marathawada and other chronically drought prone areas of rest of Maharashtra,,400.0,0.047058823529411764
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Har Khet Ko Pani,,300.0,0.03529411764705882
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Krishi Sinchai Yojna,Irrigation Census,,40.0,0.004705882352941177
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Interlinking of Rivers,,,3500.0,0.4117647058823529
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National River Conservation Plan -Other Basins,Programme Component,,200.0,0.023529411764705882
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National River Conservation Plan -Other Basins,EAP Component,,100.0,0.011764705882352941
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Namami Gange Mission-II,National Ganga Plan,Non EAP Component,3000.0,0.3529411764705882
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Namami Gange Mission-II,National Ganga Plan,EAP Component,1000.0,0.11764705882352941
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Water Resources Management,Atal Bhujal Yojna,Programme Component,547.0,0.06435294117647058
"Ministry of Jal Shakti
Demand No. 62
Department of Water Resources, River Development and Ganga Rejuvenation",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Water Resources Management,Atal Bhujal Yojna,EAP Components,453.0,0.053294117647058825
