id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Heavy Industries,,mohi,6171.630000000001,61716300000.00001,726074117.647059
1,Ministry of Heavy Industries,Ministry of Heavy Industries,mohi,mohi_mohi,6171.630000000001,61716300000.00001,726074117.647059
2,Ministry of Heavy Industries,CENTRE'S EXPENDITURE,mohi_mohi,mohi_mohi_cse,6171.630000000001,61716300000.00001,726074117.647059
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mohi_mohi_cse,mohi_mohi_cse_cssp,6026.97,60269700000.0,709055294.117647
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mohi_mohi_cse,mohi_mohi_cse_eeotc,39.02,390200000.00000006,4590588.2352941185
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mohi_mohi_cse,mohi_mohi_cse_ocse,105.64,1056400000.0,12428235.294117646
6,Central Sector Schemes/Projects,Development of Automobile Industry,mohi_mohi_cse_cssp,mohi_mohi_cse_cssp_doai,5776.97,57769700000.0,679643529.4117647
7,Central Sector Schemes/Projects,Development of Capital Goods Sector,mohi_mohi_cse_cssp,mohi_mohi_cse_cssp_docgs,250.0,2500000000.0,29411764.70588235
8,Development of Automobile Industry,Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,mohi_mohi_cse_cssp_doai,mohi_mohi_cse_cssp_doai_plipsfaaac,604.0,6040000000.0,71058823.52941176
9,Development of Automobile Industry,Production Linked Incentive (PLI) Scheme for National Programme on Advanced Chemistry Cell (ACC) Battery Storage,mohi_mohi_cse_cssp_doai,mohi_mohi_cse_cssp_doai_plipsfnpoaccabs,1.0,10000000.0,117647.05882352941
10,Development of Automobile Industry,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,mohi_mohi_cse_cssp_doai,mohi_mohi_cse_cssp_doai_sffaamohaeviifi,5171.97,51719700000.0,608467058.8235294
11,Development of Capital Goods Sector,Enhancement of Competitiveness in the Indian Capital Goods Sector,mohi_mohi_cse_cssp_docgs,mohi_mohi_cse_cssp_docgs_eociticgs,250.0,2500000000.0,29411764.70588235
12,Establishment Expenditure of the Centre,Secretariat,mohi_mohi_cse_eeotc,mohi_mohi_cse_eeotc_s,39.02,390200000.00000006,4590588.2352941185
13,Other Central Sector Expenditure,Autonomous Bodies,mohi_mohi_cse_ocse,mohi_mohi_cse_ocse_ab,24.0,240000000.0,2823529.411764706
14,Other Central Sector Expenditure,Public Sector Undertakings,mohi_mohi_cse_ocse,mohi_mohi_cse_ocse_psu,81.64,816400000.0,9604705.88235294
15,Autonomous Bodies,Central Manufacturing Technology Institute (CMTI),mohi_mohi_cse_ocse_ab,mohi_mohi_cse_ocse_ab_cmtic,24.0,240000000.0,2823529.411764706
16,Public Sector Undertakings,Support to Central Public Sector Enterprises,mohi_mohi_cse_ocse_psu,mohi_mohi_cse_ocse_psu_stcpse,81.64,816400000.0,9604705.88235294
