name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Sports Authority of India,785.52,0.09241411764705883
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Nehru Yuva Kendra Sangathan,401.49,0.04723411764705882
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Sports University,107.84,0.01268705882352941
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Laxmi Bai National Institute of Physical Education,75.0,0.008823529411764706
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Rajiv Gandhi National Institute of Youth Development,24.5,0.0028823529411764704
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Anti-Doping Agency,21.73,0.002556470588235294
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Dope Testing Laboratory,19.5,0.0022941176470588237
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Contribution to World Anti-Doping Agency,4.0,0.00047058823529411766
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Khelo India -National Programme for Development of Sports,Khelo India,1000.0,0.11764705882352941
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Khelo India -National Programme for Development of Sports,Commonwealth Games,30.0,0.0035294117647058825
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Khelo India -National Programme for Development of Sports,Enhancement of Sports Facility at J& K,15.0,0.0017647058823529412
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Assistance to National Sports Federations,,325.0,0.03823529411764706
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rashtriya Yuva Sashaktikaran Karyakaram,National Youth Corps,75.0,0.008823529411764706
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rashtriya Yuva Sashaktikaran Karyakaram,International Cooperation,23.11,0.002718823529411765
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rashtriya Yuva Sashaktikaran Karyakaram,National Programme for Youth and Adolescent Development,22.0,0.0025882352941176473
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rashtriya Yuva Sashaktikaran Karyakaram,National Young Leaders Programme,12.0,0.001411764705882353
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rashtriya Yuva Sashaktikaran Karyakaram,Youth Hostel,6.9,0.0008117647058823529
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rashtriya Yuva Sashaktikaran Karyakaram,Scouting and Guiding,1.5,0.00017647058823529413
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Encouragement and Awards to Sportspersons,Incentive to Sports Persons,45.0,0.005294117647058823
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Encouragement and Awards to Sportspersons,National Sports Development Fund,15.0,0.0017647058823529412
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Encouragement and Awards to Sportspersons,National Welfare Fund for Sports Persons,2.0,0.00023529411764705883
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Centre of Sports Science & Research,,13.0,0.0015294117647058824
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Scheme of Human Resource Development in Sports,,3.0,0.00035294117647058826
"Ministry of Youth Affairs and Sports
Demand No. 102
Ministry of Youth Affairs and Sports",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,44.23,0.005203529411764706
