name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Food Subsidy,Food Subsidy  to Food Corporation of India under National Food Security Act.,,137207.0,16.142
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Food Subsidy,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,,59793.0,7.034470588235294
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Food Subsidy,Sugar Subsidy payable under Public Distribution System,,350.0,0.041176470588235294
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity,,,400.0,0.047058823529411764
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Sugar Industry,Storage and Godowns,,103.57,0.01218470588235294
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Sugar Industry,Schemes for Development of Sugar Industries,Financial Assistance to Sugar Undertakings/Other Expenditure,10.0,0.0011764705882352942
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Sugar Industry,Strengthening of PDS Operations,,5.0,0.0005882352941176471
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,"Other Establishment Expenditure of Food, Storage and Warehousing",,,,81.49,0.00958705882352941
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Warehousing Development and Regulatory Authority,,22.0,0.0025882352941176473
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Generating Awareness amongst TPDS beneficiaries,,3.67,0.00043176470588235296
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,"PDS-Evaluation, Monitoring & Research",,0.34,4.000000000000001e-05
"Ministry of Consumer Affairs, Food and Public Distribution
Demand No. 15
Department of Food and Public Distribution",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA,,,7424.6,0.8734823529411764
