name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Bhutan,2400.58,0.28242117647058823
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Nepal,550.0,0.06470588235294118
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Mauritius,460.79,0.05421058823529412
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Maldives,400.0,0.047058823529411764
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Myanmar,400.0,0.047058823529411764
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,African Countries,250.0,0.029411764705882353
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Afghanistan,200.0,0.023529411764705882
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Bangladesh,200.0,0.023529411764705882
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Sri Lanka,150.0,0.01764705882352941
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Other Developing Countries,150.0,0.01764705882352941
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Chabahar Port,100.0,0.011764705882352941
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Eurasian Countries,75.0,0.008823529411764706
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Latin American Countries,50.0,0.0058823529411764705
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Seychelles,10.0,0.0011764705882352942
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Mongolia,7.0,0.0008235294117647059
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid to Countries,Disaster Relief,5.0,0.0005882352941176471
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Support to International Training/Programmes,,435.21,0.051201176470588236
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Aid for Cultural & Heritage Project,,5.0,0.0005882352941176471
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Special Diplomatic Expenditure,4162.01,0.4896482352941176
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International Cooperation,295.36,0.03474823529411764
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Nalanda University,250.0,0.029411764705882353
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,South Asian University,129.0,0.015176470588235295
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Training,21.19,0.0024929411764705884
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Celebration of Pravasi Bhartiya Divas,15.0,0.0017647058823529412
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Demarcation of Boundaries,2.0,0.00023529411764705883
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Expenditure relating to Pilgrimages abroad,1.0,0.00011764705882352942
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Council of Cultural Relations (ICCR),345.21,0.04061294117647059
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Assistance to Other Autonomous Bodies,35.29,0.004151764705882353
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Embassies and Missions,,3528.85,0.4151588235294118
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,1518.29,0.17862235294117648
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Passport and Emigration,,997.78,0.11738588235294117
"Ministry of External Affairs
Demand No. 29
Ministry of External Affairs",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Other Expenditure of Ministry,,900.43,0.10593294117647059
