id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Home Affairs,,moha,137315.13,1373151300000.0,16154721176.470589
1,Ministry of Home Affairs,Cabinet,moha,moha_c,1258.6800000000003,12586800000.000004,148080000.00000006
2,Ministry of Home Affairs,Ministry of Home Affairs,moha,moha_moha,5010.8,50108000000.0,589505882.3529412
3,Ministry of Home Affairs,Ministry of Home Affairs (Andaman and Nicobar Islands),moha,moha_mohaaani,5987.139999999999,59871399999.99999,704369411.7647058
4,Ministry of Home Affairs,Ministry of Home Affairs (Chandigarh),moha,moha_mohac,5436.1,54361000000.0,639541176.4705882
5,Ministry of Home Affairs,Ministry of Home Affairs (Dadra and Nagar Haveli and Daman and Diu),moha,moha_mohadanhadad,2475.0,24750000000.0,291176470.5882353
6,Ministry of Home Affairs,Ministry of Home Affairs (Ladakh),moha,moha_mohal,5958.0,59580000000.0,700941176.4705882
7,Ministry of Home Affairs,Ministry of Home Affairs (Lakshadweep),moha,moha_mohal,1395.4999999999998,13954999999.999998,164176470.58823526
8,Ministry of Home Affairs,Police,moha,moha_p,69926.68999999999,699266899999.9999,8226669411.764705
9,Ministry of Home Affairs,Transfers to Delhi,moha,moha_ttd,1168.01,11680100000.0,137412941.17647058
10,Ministry of Home Affairs,Transfers to Jammu and Kashmir,moha,moha_ttjak,35581.44,355814400000.0,4186051764.7058825
11,Ministry of Home Affairs,Transfers to Puducherry,moha,moha_ttp,3117.77,31177700000.0,366796470.5882353
12,Cabinet,CENTRE'S EXPENDITURE,moha_c,moha_c_cse,1258.6800000000003,12586800000.000004,148080000.00000006
13,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moha_c_cse,moha_c_cse_eeotc,1258.6800000000003,12586800000.000004,148080000.00000006
14,Establishment Expenditure of the Centre,Council of Ministers,moha_c_cse_eeotc,moha_c_cse_eeotc_com,832.81,8328099999.999999,97977647.05882351
15,Establishment Expenditure of the Centre,Cabinet Secretariat,moha_c_cse_eeotc,moha_c_cse_eeotc_cs,71.91,719100000.0,8460000.0
16,Establishment Expenditure of the Centre,Hospitality and Entertainment Expenses,moha_c_cse_eeotc,moha_c_cse_eeotc_haee,6.88,68800000.0,809411.7647058824
17,Establishment Expenditure of the Centre,National Security Council Secretariat,moha_c_cse_eeotc,moha_c_cse_eeotc_nscs,185.7,1857000000.0,21847058.82352941
18,Establishment Expenditure of the Centre,Office of Principal Scientific Advisor,moha_c_cse_eeotc,moha_c_cse_eeotc_oopsa,96.93,969300000.0000001,11403529.411764707
19,Establishment Expenditure of the Centre,Prime Minister's Office,moha_c_cse_eeotc,moha_c_cse_eeotc_pmso,62.65,626500000.0,7370588.235294118
20,Establishment Expenditure of the Centre,Secretariat assistance to Ex-Governors,moha_c_cse_eeotc,moha_c_cse_eeotc_sateg,1.8,18000000.0,211764.70588235295
21,Ministry of Home Affairs,CENTRE'S EXPENDITURE,moha_moha,moha_moha_cse,4833.49,48334900000.0,568645882.3529412
22,Ministry of Home Affairs,TRANSFERS TO STATES/UTs,moha_moha,moha_moha_ttsu,177.31,1773100000.0,20860000.0
23,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moha_moha_cse,moha_moha_cse_cssp,1504.34,15043400000.0,176981176.47058824
24,CENTRE'S EXPENDITURE,National Disaster Response Force (NDRF),moha_moha_cse,moha_moha_cse_ndrfn,1601.02,16010200000.0,188355294.11764705
25,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moha_moha_cse,moha_moha_cse_ocse,1728.13,17281300000.0,203309411.7647059
26,Central Sector Schemes/Projects,Civic Action Programme and Media Plan,moha_moha_cse_cssp,moha_moha_cse_cssp_capamp,30.0,300000000.0,3529411.7647058824
27,Central Sector Schemes/Projects,Disaster Management,moha_moha_cse_cssp,moha_moha_cse_cssp_dm,393.65,3936500000.0,46311764.705882356
28,Central Sector Schemes/Projects,Freedom Fighters (pension and other benefits),moha_moha_cse_cssp,moha_moha_cse_cssp_ffpaob,653.08,6530800000.0,76832941.1764706
29,Central Sector Schemes/Projects,Helicopter Services,moha_moha_cse_cssp,moha_moha_cse_cssp_hs,126.0,1260000000.0,14823529.411764706
30,Central Sector Schemes/Projects,Unallocated,moha_moha_cse_cssp,moha_moha_cse_cssp_u,301.6099999999999,3016099999.999999,35483529.411764696
31,Disaster Management,Infrastructure for Disaster Management,moha_moha_cse_cssp_dm,moha_moha_cse_cssp_dm_ifdm,141.73,1417300000.0,16674117.647058824
32,Disaster Management,Other Disaster Management Schemes,moha_moha_cse_cssp_dm,moha_moha_cse_cssp_dm_odms,251.92,2519200000.0,29637647.05882353
33,Helicopter Services,Jammu and Kashmir and Himachal Pradesh,moha_moha_cse_cssp_hs,moha_moha_cse_cssp_hs_jakahp,11.0,110000000.0,1294117.6470588236
34,Helicopter Services,Ladakh,moha_moha_cse_cssp_hs,moha_moha_cse_cssp_hs_l,5.0,50000000.0,588235.2941176471
35,Helicopter Services,North Eastern Region,moha_moha_cse_cssp_hs,moha_moha_cse_cssp_hs_ner,110.0,1100000000.0,12941176.470588235
36,Other Central Sector Expenditure,Autonomous Bodies,moha_moha_cse_ocse,moha_moha_cse_ocse_ab,70.0,700000000.0,8235294.117647059
37,Other Central Sector Expenditure,Others,moha_moha_cse_ocse,moha_moha_cse_ocse_o,1658.13,16581300000.000002,195074117.64705884
38,Autonomous Bodies,National Human Right Commission (NHRC),moha_moha_cse_ocse_ab,moha_moha_cse_ocse_ab_nhrcn,70.0,700000000.0,8235294.117647059
39,Others,"Census, Survey and Statistics/Registrar General of India(RGI)",moha_moha_cse_ocse_o,moha_moha_cse_ocse_o_csasrgoir,1564.65,15646500000.0,184076470.5882353
40,Others,Other Central Miscellaneous Expenditure,moha_moha_cse_ocse_o,moha_moha_cse_ocse_o_ocme,93.48,934800000.0,10997647.05882353
41,TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,moha_moha_ttsu,moha_moha_ttsu_css,110.0,1100000000.0,12941176.470588235
42,TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,moha_moha_ttsu,moha_moha_ttsu_oglt,67.31,673100000.0,7918823.529411765
43,Centrally Sponsored Schemes,National Cyclone Risk Mitigation Project,moha_moha_ttsu_css,moha_moha_ttsu_css_ncrmp,110.0,1100000000.0,12941176.470588235
44,Other Grants/Loans/Transfers,Civil Defence,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_cd,8.0,80000000.0,941176.4705882353
45,Other Grants/Loans/Transfers,Grants to Autonomous Council for North Eastern States,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_gtacfnes,1.0,10000000.0,117647.05882352941
46,Other Grants/Loans/Transfers,Home Guards,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_hg,18.31,183100000.0,2154117.6470588236
47,Other Grants/Loans/Transfers,Payment to State Governments for Administration of Central Acts,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_ptsgfaoca,40.0,400000000.0,4705882.352941177
48,Ministry of Home Affairs (Andaman and Nicobar Islands),CENTRE'S EXPENDITURE,moha_mohaaani,moha_mohaaani_cse,5987.139999999999,59871399999.99999,704369411.7647058
49,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moha_mohaaani_cse,moha_mohaaani_cse_eeotc,2646.5,26465000000.0,311352941.1764706
50,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moha_mohaaani_cse,moha_mohaaani_cse_ocse,3340.64,33406400000.0,393016470.5882353
51,Establishment Expenditure of the Centre,Other Establishment,moha_mohaaani_cse_eeotc,moha_mohaaani_cse_eeotc_oe,2572.24,25722399999.999996,302616470.58823526
52,Establishment Expenditure of the Centre,Secretariat,moha_mohaaani_cse_eeotc,moha_mohaaani_cse_eeotc_s,74.26,742600000.0,8736470.588235294
53,Other Central Sector Expenditure,Others,moha_mohaaani_cse_ocse,moha_mohaaani_cse_ocse_o,3340.64,33406400000.0,393016470.5882353
54,Others,Grantee / Other Bodies,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_gob,9.9,99000000.0,1164705.8823529412
55,Others,Schemes of UT,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_sou,0.5,5000000.0,58823.529411764706
56,Others,Tribal Area Component,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_tac,226.76,2267600000.0,26677647.05882353
57,Others,Unallocated,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_u,3072.88,30728800000.0,361515294.11764705
58,Others,UT's Supplement to Centrally Sponsored Schemes,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_usstcss,30.6,306000000.0,3600000.0
59,Grantee / Other Bodies,SOVTECH,moha_mohaaani_cse_ocse_o_gob,moha_mohaaani_cse_ocse_o_gob_s,3.9,39000000.0,458823.5294117647
