source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Law and Justice
Demand No. 65
Law and Justice",r,r_molajdn6laj,3709.29,37092900000.0,436387058.8235294
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,r_molajdn6laj,r_molajdn6laj_cse,464.51,4645100000.0,54648235.294117644
"Ministry of Law and Justice
Demand No. 65
Law and Justice",TRANSFERS TO STATES/UTs,r_molajdn6laj,r_molajdn6laj_ttsu,3244.78,32447800000.000004,381738823.5294118
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_molajdn6laj_cse,r_molajdn6laj_cse_cssp,40.01,400100000.0,4707058.823529412
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_molajdn6laj_cse,r_molajdn6laj_cse_ocse,228.5,2285000000.0,26882352.94117647
CENTRE'S EXPENDITURE,Tax Tribunals,r_molajdn6laj_cse,r_molajdn6laj_cse_tt,196.0,1960000000.0,23058823.529411763
Central Sector Schemes/Projects,National Mission for Justice Delivery and Legal Reforms,r_molajdn6laj_cse_cssp,r_molajdn6laj_cse_cssp_nmfjdalr,40.01,400100000.0,4707058.823529412
National Mission for Justice Delivery and Legal Reforms,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),r_molajdn6laj_cse_cssp_nmfjdalr,r_molajdn6laj_cse_cssp_nmfjdalr_disfhatjiid,40.0,400000000.0,4705882.352941177
Other Central Sector Expenditure,Autonomous Bodies,r_molajdn6laj_cse_ocse,r_molajdn6laj_cse_ocse_ab,228.5,2285000000.0,26882352.94117647
Autonomous Bodies,Aribitration Council of India (ACI),r_molajdn6laj_cse_ocse_ab,r_molajdn6laj_cse_ocse_ab_acoia,2.0,20000000.0,235294.11764705883
Autonomous Bodies,Indian Law Institute (ILI),r_molajdn6laj_cse_ocse_ab,r_molajdn6laj_cse_ocse_ab_ilii,3.5,35000000.0,411764.70588235295
Autonomous Bodies,New Delhi International Arbitration Centre,r_molajdn6laj_cse_ocse_ab,r_molajdn6laj_cse_ocse_ab_ndiac,3.0,30000000.0,352941.17647058825
Autonomous Bodies,National Judicial Academy,r_molajdn6laj_cse_ocse_ab,r_molajdn6laj_cse_ocse_ab_nja,20.0,200000000.0,2352941.1764705884
Autonomous Bodies,National Legal Services Authority,r_molajdn6laj_cse_ocse_ab,r_molajdn6laj_cse_ocse_ab_nlsa,200.0,2000000000.0,23529411.76470588
TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,r_molajdn6laj_ttsu,r_molajdn6laj_ttsu_css,1061.0,10610000000.0,124823529.41176471
TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,r_molajdn6laj_ttsu,r_molajdn6laj_ttsu_oglt,2183.78,21837800000.000004,256915294.1176471
Centrally Sponsored Schemes,Infrastructure Facilities for Judiciary,r_molajdn6laj_ttsu_css,r_molajdn6laj_ttsu_css_iffj,1061.0,10610000000.0,124823529.41176471
Infrastructure Facilities for Judiciary,Infrastructure Facilities for Judiciary,r_molajdn6laj_ttsu_css_iffj,r_molajdn6laj_ttsu_css_iffj_iffj,1061.0,10610000000.0,124823529.41176471
Infrastructure Facilities for Judiciary,Gram Nyayalayas,r_molajdn6laj_ttsu_css_iffj_iffj,r_molajdn6laj_ttsu_css_iffj_iffj_gn,10.0,100000000.0,1176470.5882352942
Infrastructure Facilities for Judiciary,Infrastructure Facilities for Judiciary,r_molajdn6laj_ttsu_css_iffj_iffj,r_molajdn6laj_ttsu_css_iffj_iffj_iffj,1051.0,10510000000.0,123647058.8235294
Other Grants/Loans/Transfers,EVMs for Election Commission,r_molajdn6laj_ttsu_oglt,r_molajdn6laj_ttsu_oglt_efec,1891.78,18917800000.0,222562352.94117647
Other Grants/Loans/Transfers,Organs of Elections,r_molajdn6laj_ttsu_oglt,r_molajdn6laj_ttsu_oglt_ooe,292.0,2920000000.0,34352941.176470585
Organs of Elections,Identity Cards to Voters,r_molajdn6laj_ttsu_oglt_ooe,r_molajdn6laj_ttsu_oglt_ooe_ictv,18.0,180000000.0,2117647.0588235296
Organs of Elections,Lok Sabha Elections,r_molajdn6laj_ttsu_oglt_ooe,r_molajdn6laj_ttsu_oglt_ooe_lse,180.0,1800000000.0,21176470.588235293
Organs of Elections,Other Election Expenses,r_molajdn6laj_ttsu_oglt_ooe,r_molajdn6laj_ttsu_oglt_ooe_oee,94.0,940000000.0,11058823.529411765
