name0,name1,name2,name3,name4,name5,name6,amounts_inrcr,amounts_usdb
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Technology,Support to Indian Institutes of Technology,Grants to Indian Institutes of Technology,8791.5,1.0342941176470588
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Technology,Support to Indian Institutes of Technology,Repayment of Principal of HEFA Loan,300.0,0.03529411764705882
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Technology,Support to Indian Institutes of Technology,Interest under HEFA Loan,270.0,0.03176470588235294
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Technology,"IIT, Hyderabad (EAP)",,300.0,0.03529411764705882
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Management,Support to National Institutes of Technology (NITs) and IIEST,Grants to National Institutes of Technology (NITs) and IIEST,4620.0,0.5435294117647059
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Management,Support to National Institutes of Technology (NITs) and IIEST,Repayment of Principal of HEFA Loan,120.0,0.01411764705882353
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Management,Support to National Institutes of Technology (NITs) and IIEST,Interest under HEFA Loan,80.6,0.00948235294117647
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Management,Support to Indian Institutes of Management (IIMs),Repayment of Principal of HEFA Loan,255.04,0.03000470588235294
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Management,Support to Indian Institutes of Management (IIMs),Interest under HEFA Loan,29.79,0.003504705882352941
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Management,Support to Indian Institutes of Management (IIMs),Support from Gross Budgetary Support (GBS),15.17,0.0017847058823529413
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"Indian Institute of Science, Education and Research (IISERs)","Support to Indian Institute(s) of Science, Education and Research (IISER)",Support from Gross Budgetary Support (GBS),1448.0,0.17035294117647057
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"Indian Institute of Science, Education and Research (IISERs)","Support to Indian Institute(s) of Science, Education and Research (IISER)",Repayment of Principal of HEFA Loan,9.0,0.0010588235294117648
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"Indian Institute of Science, Education and Research (IISERs)","Support to Indian Institute(s) of Science, Education and Research (IISER)",Interest under HEFA Loan,5.0,0.0005882352941176471
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"Indian Institute of Science, Education and Research (IISERs)",Support to Indian Institute of Science (IISc),Support from Gross Budgetary Support (GBS),810.9,0.0954
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"Indian Institute of Science, Education and Research (IISERs)",Support to Indian Institute of Science (IISc),Interest under HEFA Loan,4.5,0.0005294117647058824
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Information Technology(IIITs),"Support to Indian Institute(s) of Information Technology (Allahabad, Gwalior, Jabalpur and Kanchipuram)",Support from Gross Budgetary Support (GBS),289.0,0.034
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Information Technology(IIITs),"Support to Indian Institute(s) of Information Technology (Allahabad, Gwalior, Jabalpur and Kanchipuram)",Interest under HEFA Loan,1.0,0.00011764705882352942
"Ministry of Education
Demand No. 26
Department of Higher Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institutes of Information Technology(IIITs),Setting up Indian Institutes of Information Technology in PPP mode,,270.0,0.03176470588235294
