name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Reserve Fund,Gold Reserve Fund,2455.85,0.2889235294117647
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Reserve Fund,Guarantee Redemption Fund,1000.0,0.11764705882352941
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Affordable housing for middle income group,,1000.0,0.11764705882352941
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Capital infusion into NIIF Infrastructure Debt Financing Platform,,1000.0,0.11764705882352941
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International / National Contributions,International Fund for Agricultural Development (IFAD),139.2,0.016376470588235294
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International / National Contributions,Other General Economic Services,118.96,0.013995294117647059
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International / National Contributions,Contribution towards Asian Development Fund-13,89.15,0.010488235294117645
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International / National Contributions,Technical and Economic Co-operation with Other Countries (International Contribution),72.31,0.008507058823529411
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International / National Contributions,Contribution to AfDF,52.11,0.006130588235294118
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International / National Contributions,Contribution towards Africa Digital Financial Inclusion Facility (ADFI),17.0,0.002
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International / National Contributions,"Contribution to Rental Cost of IMF, Delhi",0.28,3.294117647058824e-05
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Investment in International Financial Institutions,,384.1,0.04518823529411765
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Other Expenditure,Other Expenses under Other General Economic Services,204.73,0.02408588235294118
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Other Expenditure,Commission for Gold Monetization Scheme 2015,25.0,0.0029411764705882353
"Ministry of Finance
Demand No. 30
Department of Economic Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Loans to Government Servants,,75.0,0.008823529411764706
