name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Inland Water Transport Authority of India,992.46,0.11676
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Kolkata Port Trust,250.1,0.029423529411764706
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Maritime University,87.85,0.010335294117647059
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Development of Minor Ports,69.63,0.008191764705882353
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Tariff Authority for Major Ports,10.5,0.0012352941176470588
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Directorate General of Shipping,145.17,0.017078823529411764
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,Shipping Corporation of India,5.0,0.0005882352941176471
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Sagarmala,,450.0,0.052941176470588235
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Shipping and Ship Building,"Assistance to Ship Building, Research and Development",112.0,0.013176470588235295
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Inland Water Transport,Grants to Inland Water Transport Authority of India,15.0,0.0017647058823529412
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Ports,Research and Development (Ports),1.03,0.0001211764705882353
"Ministry of Ports, Shipping and Waterways
Demand No. 78
Ministry of Ports, Shipping and Waterways",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,80.0,0.009411764705882354
