name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Mahatma Gandhi National Rural Employment Guarantee Program,Transfer to National Employment Guarantee Fund,,60000.0,7.058823529411765
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Mahatma Gandhi National Rural Employment Guarantee Program,MGNREGA-Programme Component,,60000.0,7.058823529411765
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Awas Yojna (PMAY),,,54487.0,6.410235294117647
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Gram Sadak Yojna,,,19000.0,2.235294117647059
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Social Assistance Progamme,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),,6634.32,0.7805082352941177
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Social Assistance Progamme,Indira Gandhi National Widow Pension Scheme(IGNWPS),,2026.99,0.2384694117647059
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Social Assistance Progamme,National Family Benefit Scheme,,659.0,0.07752941176470589
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Social Assistance Progamme,Indira Gandhi National Disability Pension Scheme(IGNDPS),,290.0,0.03411764705882352
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Social Assistance Progamme,Administrative Expenditure,,16.0,0.0018823529411764706
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Social Assistance Progamme,Annapurna Scheme,,10.01,0.0011776470588235294
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Livelihood Mission - Ajeevika,National Rural Livelihood Mission,NRLM-Programme Component,9494.65,1.1170176470588236
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Livelihood Mission - Ajeevika,National Rural Livelihood Mission,NRLM-EAP Component,3272.0,0.38494117647058823
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Livelihood Mission - Ajeevika,National Rural Livelihood Mission,North-east Region,1362.52,0.1602964705882353
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"National Institute of Rural Development and Panchayati Raj, Hyderabad",,115.0,0.013529411764705882
"Ministry of Rural Development
Demand No. 87
Department of Rural Development",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Management Support to Rural Development Programs and Strengthening of District Planning Process,,,113.49,0.013351764705882353
