id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Deparment of Space,,dos,12543.91,125439100000.0,1475754117.6470587
1,Deparment of Space,Department of Space,dos,dos_dos,12543.91,125439100000.0,1475754117.6470587
2,Department of Space,CENTRE'S EXPENDITURE,dos_dos,dos_dos_cse,12543.91,125439100000.0,1475754117.6470587
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,dos_dos_cse,dos_dos_cse_cssp,11669.41,116694100000.0,1372871764.7058823
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,dos_dos_cse,dos_dos_cse_eeotc,450.91,4509100000.0,53048235.294117644
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,dos_dos_cse,dos_dos_cse_ocse,423.59,4235899999.9999995,49834117.647058815
6,Central Sector Schemes/Projects,INSAT Satellite Systems,dos_dos_cse_cssp,dos_dos_cse_cssp_iss,531.0,5310000000.0,62470588.23529412
7,Central Sector Schemes/Projects,Space Applications,dos_dos_cse_cssp,dos_dos_cse_cssp_sa,1558.95,15589500000.0,183405882.3529412
8,Central Sector Schemes/Projects,Space Sciences,dos_dos_cse_cssp,dos_dos_cse_cssp_ss,138.8,1388000000.0,16329411.764705881
9,Central Sector Schemes/Projects,Space Technology,dos_dos_cse_cssp,dos_dos_cse_cssp_st,9440.66,94406600000.0,1110665882.3529413
10,Establishment Expenditure of the Centre,Indian National Space Promotion and Authorization Centre (IN-SPACe),dos_dos_cse_eeotc,dos_dos_cse_eeotc_inspaacis,95.0,950000000.0,11176470.588235294
11,Establishment Expenditure of the Centre,Indian Space Research Organisation (ISRO) Head Quarters,dos_dos_cse_eeotc,dos_dos_cse_eeotc_isroihq,201.91,2019100000.0,23754117.647058822
12,Establishment Expenditure of the Centre,Secretariat,dos_dos_cse_eeotc,dos_dos_cse_eeotc_s,154.0,1540000000.0,18117647.05882353
13,Other Central Sector Expenditure,Autonomous Bodies,dos_dos_cse_ocse,dos_dos_cse_ocse_ab,408.69,4086900000.0,48081176.47058824
14,Other Central Sector Expenditure,Others,dos_dos_cse_ocse,dos_dos_cse_ocse_o,13.9,139000000.0,1635294.1176470588
15,Other Central Sector Expenditure,Public Sector Undertakings,dos_dos_cse_ocse,dos_dos_cse_ocse_psu,1.0,10000000.0,117647.05882352941
16,Autonomous Bodies,Indian Institute of Space Science and Technology (IIST),dos_dos_cse_ocse_ab,dos_dos_cse_ocse_ab_iiossati,122.0,1220000000.0,14352941.176470589
17,Autonomous Bodies,National Atmospheric Research Laboratory (NARL),dos_dos_cse_ocse_ab,dos_dos_cse_ocse_ab_narln,44.69,446900000.0,5257647.05882353
18,Autonomous Bodies,North Eastern Space Applications Centre (NE-SAC),dos_dos_cse_ocse_ab,dos_dos_cse_ocse_ab_nesacns,44.0,440000000.0,5176470.588235294
19,Autonomous Bodies,Physical Research Laboratory (PRL),dos_dos_cse_ocse_ab,dos_dos_cse_ocse_ab_prlp,198.0,1980000000.0,23294117.647058822
20,Others,International Co-operation,dos_dos_cse_ocse_o,dos_dos_cse_ocse_o_ico,13.9,139000000.0,1635294.1176470588
21,Public Sector Undertakings,NewSpace India Limited (NSIL),dos_dos_cse_ocse_psu,dos_dos_cse_ocse_psu_niln,1.0,10000000.0,117647.05882352941
