id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Communications,,mocomm,123393.05000000002,1233930500000.0002,14516829411.76471
1,Ministry of Communications,Department of Posts,mocomm,mocomm_dop,25814.0,258140000000.0,3036941176.470588
2,Ministry of Communications,Department of Telecommunications,mocomm,mocomm_dot,97579.05000000002,975790500000.0001,11479888235.294119
3,Department of Posts,CENTRE'S EXPENDITURE,mocomm_dop,mocomm_dop_cse,25814.0,258140000000.0,3036941176.470588
4,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mocomm_dop_cse,mocomm_dop_cse_cssp,1528.31,15283100000.0,179801176.47058824
5,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mocomm_dop_cse,mocomm_dop_cse_eeotc,24285.69,242856900000.0,2857140000.0
6,Central Sector Schemes/Projects,Estates Management,mocomm_dop_cse_cssp,mocomm_dop_cse_cssp_em,100.0,1000000000.0,11764705.88235294
7,Central Sector Schemes/Projects,Human Resource Management,mocomm_dop_cse_cssp,mocomm_dop_cse_cssp_hrm,34.0,340000000.0,4000000.0
8,Central Sector Schemes/Projects,India Post Payments Bank,mocomm_dop_cse_cssp,mocomm_dop_cse_cssp_ippb,250.0,2500000000.0,29411764.70588235
9,Central Sector Schemes/Projects,Postal Operation,mocomm_dop_cse_cssp,mocomm_dop_cse_cssp_po,1144.31,11443100000.0,134624705.88235295
10,Department of Telecommunications,CENTRE'S EXPENDITURE,mocomm_dot,mocomm_dot_cse,97579.05000000002,975790500000.0001,11479888235.294119
11,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mocomm_dot_cse,mocomm_dot_cse_cssp,14843.32,148433200000.0,1746272941.1764705
12,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mocomm_dot_cse,mocomm_dot_cse_eeotc,22042.910000000003,220429100000.00003,2593283529.411765
13,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mocomm_dot_cse,mocomm_dot_cse_ocse,60692.82,606928200000.0,7140331764.705882
14,Central Sector Schemes/Projects,DoT Projects,mocomm_dot_cse_cssp,mocomm_dot_cse_cssp_dp,2285.32,22853200000.0,268861176.4705882
15,Central Sector Schemes/Projects,Defence Spectrum,mocomm_dot_cse_cssp,mocomm_dot_cse_cssp_ds,2158.0,21580000000.0,253882352.94117647
16,Central Sector Schemes/Projects,Universal Service Obligation Fund,mocomm_dot_cse_cssp,mocomm_dot_cse_cssp_usof,10400.0,104000000000.0,1223529411.764706
17,DoT Projects,5G Connectivity Test Bed,mocomm_dot_cse_cssp_dp,mocomm_dot_cse_cssp_dp_5ctb,5.56,55599999.99999999,654117.6470588235
18,DoT Projects,Domestic Industry Incentivisation Scheme,mocomm_dot_cse_cssp_dp,mocomm_dot_cse_cssp_dp_diis,915.0,9150000000.0,107647058.8235294
