id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Commerce and Industry,,mocai,13455.210000000001,134552100000.00002,1582965882.3529413
1,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade,mocai,mocai_dfpoiait,8200.630000000001,82006300000.00002,964780000.0000002
2,Ministry of Commerce and Industry,Department of Commerce,mocai,mocai_doc,5254.58,52545800000.0,618185882.3529412
3,Department for Promotion of Industry and Internal Trade,CENTRE'S EXPENDITURE,mocai_dfpoiait,mocai_dfpoiait_cse,8200.630000000001,82006300000.00002,964780000.0000002
4,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mocai_dfpoiait_cse,mocai_dfpoiait_cse_cssp,7372.030000000001,73720300000.0,867297647.0588236
5,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mocai_dfpoiait_cse,mocai_dfpoiait_cse_eeotc,648.35,6483500000.0,76276470.58823529
6,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mocai_dfpoiait_cse,mocai_dfpoiait_cse_ocse,180.25,1802500000.0,21205882.352941178
7,Central Sector Schemes/Projects,"Footwear, Leather and Accessories Development Programme (FLADP)",mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_flaadpf,250.0,2500000000.0,29411764.70588235
8,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_idobara,1108.0,11080000000.0,130352941.1764706
9,Central Sector Schemes/Projects,"Industrial Development of Ladakh, 2022",mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_idol2,97.3,973000000.0,11447058.823529411
10,Central Sector Schemes/Projects,Industrial Infrastructure Upgradation Scheme (IIUS),mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_iiusi,5.0,50000000.0,588235.2941176471
11,Central Sector Schemes/Projects,Make in India,mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_mii,2180.0,21800000000.0,256470588.2352941
12,Central Sector Schemes/Projects,National Industrial Corridors,mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_nic,2000.0,20000000000.0,235294117.6470588
13,Central Sector Schemes/Projects,Price and Production Statistics,mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_paps,17.85,178500000.0,2100000.0
14,Central Sector Schemes/Projects,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,mocai_dfpoiait_cse_cssp,mocai_dfpoiait_cse_cssp_rocaigtiuinerahs,1713.88,17138800000.000002,201632941.1764706
15,Industrial Development of Backward and Remote Areas,Industrial Development of UT of Jammu and Kashmir,mocai_dfpoiait_cse_cssp_idobara,mocai_dfpoiait_cse_cssp_idobara_idouojak,150.0,1500000000.0,17647058.82352941
16,Industrial Development of Backward and Remote Areas,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",mocai_dfpoiait_cse_cssp_idobara,mocai_dfpoiait_cse_cssp_idobara_ids2futojkautol,50.0,500000000.0,5882352.94117647
17,Industrial Development of Backward and Remote Areas,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",mocai_dfpoiait_cse_cssp_idobara,mocai_dfpoiait_cse_cssp_idobara_idsfhpu2,250.0,2500000000.0,29411764.70588235
18,Industrial Development of Backward and Remote Areas,North Eastern Industrial and Investment Promotion Policy (NEIPP),mocai_dfpoiait_cse_cssp_idobara,mocai_dfpoiait_cse_cssp_idobara_neiaippn,200.0,2000000000.0,23529411.76470588
19,Industrial Development of Backward and Remote Areas,North East Industrial Development Scheme (NEIDS) 2017,mocai_dfpoiait_cse_cssp_idobara,mocai_dfpoiait_cse_cssp_idobara_neidsn2,400.0,4000000000.0,47058823.52941176
20,Industrial Development of Backward and Remote Areas,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",mocai_dfpoiait_cse_cssp_idobara,mocai_dfpoiait_cse_cssp_idobara_pfscsfjakhpau,8.0,80000000.0,941176.4705882353
