id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of External Affairs,,moea,18050.0,180500000000.0,2123529411.764706
1,Ministry of External Affairs,Ministry of External Affairs,moea,moea_moea,18050.0,180500000000.0,2123529411.764706
2,Ministry of External Affairs,CENTRE'S EXPENDITURE,moea_moea,moea_moea_cse,18050.0,180500000000.0,2123529411.764706
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moea_moea_cse,moea_moea_cse_cssp,5848.58,58485800000.0,688068235.2941177
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moea_moea_cse,moea_moea_cse_eeotc,6945.35,69453500000.0,817100000.0
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moea_moea_cse,moea_moea_cse_ocse,5256.07,52560700000.0,618361176.4705882
6,Central Sector Schemes/Projects,Aid for Cultural & Heritage Project,moea_moea_cse_cssp,moea_moea_cse_cssp_afchp,5.0,50000000.0,588235.2941176471
7,Central Sector Schemes/Projects,Aid to Countries,moea_moea_cse_cssp,moea_moea_cse_cssp_atc,5408.37,54083700000.0,636278823.5294118
8,Central Sector Schemes/Projects,Support to International Training/Programmes,moea_moea_cse_cssp,moea_moea_cse_cssp_stitp,435.21,4352100000.0,51201176.47058824
9,Aid to Countries,Afghanistan,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_a,200.0,2000000000.0,23529411.76470588
10,Aid to Countries,African Countries,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_ac,250.0,2500000000.0,29411764.70588235
11,Aid to Countries,Bhutan,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_b,2400.58,24005800000.0,282421176.4705882
12,Aid to Countries,Bangladesh,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_b,200.0,2000000000.0,23529411.76470588
13,Aid to Countries,Chabahar Port,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_cp,100.0,1000000000.0,11764705.88235294
14,Aid to Countries,Disaster Relief,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_dr,5.0,50000000.0,588235.2941176471
15,Aid to Countries,Eurasian Countries,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_ec,75.0,750000000.0,8823529.411764706
16,Aid to Countries,Latin American Countries,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_lac,50.0,500000000.0,5882352.94117647
17,Aid to Countries,Mauritius,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_m,460.79,4607900000.0,54210588.23529412
18,Aid to Countries,Maldives,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_m,400.0,4000000000.0,47058823.52941176
19,Aid to Countries,Myanmar,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_m,400.0,4000000000.0,47058823.52941176
20,Aid to Countries,Mongolia,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_m,7.0,70000000.0,823529.4117647059
21,Aid to Countries,Nepal,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_n,550.0,5500000000.0,64705882.35294118
22,Aid to Countries,Other Developing Countries,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_odc,150.0,1500000000.0,17647058.82352941
23,Aid to Countries,Seychelles,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_s,10.0,100000000.0,1176470.5882352942
24,Aid to Countries,Sri Lanka,moea_moea_cse_cssp_atc,moea_moea_cse_cssp_atc_sl,150.0,1500000000.0,17647058.82352941
25,Establishment Expenditure of the Centre,Embassies and Missions,moea_moea_cse_eeotc,moea_moea_cse_eeotc_eam,3528.85,35288500000.0,415158823.5294118
26,Establishment Expenditure of the Centre,Other Expenditure of Ministry,moea_moea_cse_eeotc,moea_moea_cse_eeotc_oeom,900.43,9004300000.0,105932941.1764706
27,Establishment Expenditure of the Centre,Passport and Emigration,moea_moea_cse_eeotc,moea_moea_cse_eeotc_pae,997.78,9977800000.0,117385882.35294117
28,Establishment Expenditure of the Centre,Secretariat,moea_moea_cse_eeotc,moea_moea_cse_eeotc_s,1518.29,15182900000.0,178622352.94117647
29,Other Central Sector Expenditure,Autonomous Bodies,moea_moea_cse_ocse,moea_moea_cse_ocse_ab,380.5,3805000000.0,44764705.88235294
30,Other Central Sector Expenditure,Others,moea_moea_cse_ocse,moea_moea_cse_ocse_o,4875.57,48755700000.0,573596470.5882353
31,Autonomous Bodies,Assistance to Other Autonomous Bodies,moea_moea_cse_ocse_ab,moea_moea_cse_ocse_ab_atoab,35.29,352900000.0,4151764.705882353
32,Autonomous Bodies,Indian Council of Cultural Relations (ICCR),moea_moea_cse_ocse_ab,moea_moea_cse_ocse_ab_icocri,345.21,3452100000.0,40612941.176470585
33,Others,Celebration of Pravasi Bhartiya Divas,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_copbd,15.0,150000000.0,1764705.8823529412
34,Others,Demarcation of Boundaries,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_dob,2.0,20000000.0,235294.11764705883
35,Others,Expenditure relating to Pilgrimages abroad,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_ertpa,1.0,10000000.0,117647.05882352941
36,Others,International Cooperation,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_ic,295.36,2953600000.0,34748235.294117644
37,Others,Nalanda University,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_nu,250.0,2500000000.0,29411764.70588235
38,Others,South Asian University,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_sau,129.0,1290000000.0,15176470.588235294
39,Others,Special Diplomatic Expenditure,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_sde,4162.01,41620100000.0,489648235.2941176
40,Others,Training,moea_moea_cse_ocse_o,moea_moea_cse_ocse_o_t,21.19,211900000.0,2492941.1764705884
