id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Information and Broadcasting,,moiab,4267.25,42672500000.0,502029411.7647059
1,Ministry of Information and Broadcasting,Ministry of Information and Broadcasting,moiab,moiab_moiab,4267.25,42672500000.0,502029411.7647059
2,Ministry of Information and Broadcasting,CENTRE'S EXPENDITURE,moiab_moiab,moiab_moiab_cse,4267.25,42672500000.0,502029411.7647059
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moiab_moiab_cse,moiab_moiab_cse_cssp,1105.0,11050000000.0,130000000.0
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moiab_moiab_cse,moiab_moiab_cse_eeotc,110.75,1107500000.0,13029411.764705881
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moiab_moiab_cse,moiab_moiab_cse_ocse,3051.5,30515000000.0,359000000.0
6,Central Sector Schemes/Projects,Broadcasting Infrastructure Network Development,moiab_moiab_cse_cssp,moiab_moiab_cse_cssp_bind,600.0,6000000000.0,70588235.29411764
7,Central Sector Schemes/Projects,Development Communication and Dissemination of Filmic Content,moiab_moiab_cse_cssp,moiab_moiab_cse_cssp_dcadofc,300.0,3000000000.0,35294117.64705882
8,Central Sector Schemes/Projects,Development Communication and Information Dissemination,moiab_moiab_cse_cssp,moiab_moiab_cse_cssp_dcaid,200.0,2000000000.0,23529411.76470588
9,Central Sector Schemes/Projects,Supporting Community Radio Movement in India,moiab_moiab_cse_cssp,moiab_moiab_cse_cssp_scrmii,5.0,50000000.0,588235.2941176471
10,Other Central Sector Expenditure,Autonomous Bodies,moiab_moiab_cse_ocse,moiab_moiab_cse_ocse_ab,2808.36,28083600000.0,330395294.11764705
11,Other Central Sector Expenditure,Public Sector Undertakings,moiab_moiab_cse_ocse,moiab_moiab_cse_ocse_psu,20.38,203800000.0,2397647.0588235296
12,Other Central Sector Expenditure,Unallocated,moiab_moiab_cse_ocse,moiab_moiab_cse_ocse_u,222.75999999999976,2227599999.9999976,26207058.823529385
13,Public Sector Undertakings,National Film Development Corporation (NFDC),moiab_moiab_cse_ocse_psu,moiab_moiab_cse_ocse_psu_nfdcn,20.38,203800000.0,2397647.0588235296
