id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Steel,,mos,70.15,701500000.0,8252941.176470588
1,Ministry of Steel,Ministry of Steel,mos,mos_mos,70.15,701500000.0,8252941.176470588
2,Ministry of Steel,CENTRE'S EXPENDITURE,mos_mos,mos_mos_cse,70.15,701500000.0,8252941.176470588
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mos_mos_cse,mos_mos_cse_cssp,24.0,240000000.0,2823529.411764706
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mos_mos_cse,mos_mos_cse_eeotc,43.64,436400000.0,5134117.647058823
5,CENTRE'S EXPENDITURE,Others,mos_mos_cse,mos_mos_cse_o,2.51,25099999.999999996,295294.1176470588
6,Central Sector Schemes/Projects,Flagging of Merchant Ships in India,mos_mos_cse_cssp,mos_mos_cse_cssp_fomsii,14.0,140000000.0,1647058.8235294118
7,Central Sector Schemes/Projects,Scheme for Promotion of Research and Development in Iron and Steel sector,mos_mos_cse_cssp,mos_mos_cse_cssp_sfporadiiass,10.0,100000000.0,1176470.5882352942
8,Establishment Expenditure of the Centre,Secretariat,mos_mos_cse_eeotc,mos_mos_cse_eeotc_s,43.64,436400000.0,5134117.647058823
9,Others,Other Programmes,mos_mos_cse_o,mos_mos_cse_o_op,2.51,25099999.999999996,295294.1176470588
