id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Social Justice and Empowerment,,mosjae,13995.17,139951700000.0,1646490588.235294
1,Ministry of Social Justice and Empowerment,Department of Empowerment of Persons with Disabilities,mosjae,mosjae_doeopwd,1225.15,12251500000.0,144135294.11764705
2,Ministry of Social Justice and Empowerment,Department of Social Justice and Empowerment,mosjae,mosjae_dosjae,12770.02,127700200000.0,1502355294.1176472
3,Department of Empowerment of Persons with Disabilities,CENTRE'S EXPENDITURE,mosjae_doeopwd,mosjae_doeopwd_cse,1225.15,12251500000.0,144135294.11764705
4,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mosjae_doeopwd_cse,mosjae_doeopwd_cse_cssp,680.0,6800000000.0,80000000.0
5,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mosjae_doeopwd_cse,mosjae_doeopwd_cse_eeotc,42.720000000000006,427200000.00000006,5025882.352941177
6,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mosjae_doeopwd_cse,mosjae_doeopwd_cse_ocse,502.43,5024300000.0,59109411.76470588
7,Central Sector Schemes/Projects,National Program for the Welfare of Persons with Disabilities,mosjae_doeopwd_cse_cssp,mosjae_doeopwd_cse_cssp_npftwopwd,525.0,5250000000.0,61764705.88235294
8,Central Sector Schemes/Projects,Scholarship for Students with Disabilidties,mosjae_doeopwd_cse_cssp,mosjae_doeopwd_cse_cssp_sfswd,155.0,1550000000.0,18235294.11764706
9,National Program for the Welfare of Persons with Disabilities,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances,mosjae_doeopwd_cse_cssp_npftwopwd,mosjae_doeopwd_cse_cssp_npftwopwd_atdpfpfoaaa,245.0,2450000000.0,28823529.411764707
10,National Program for the Welfare of Persons with Disabilities,Deendayal Disabled Rehabilitation Scheme,mosjae_doeopwd_cse_cssp_npftwopwd,mosjae_doeopwd_cse_cssp_npftwopwd_ddrs,130.0,1300000000.0,15294117.647058824
11,National Program for the Welfare of Persons with Disabilities,Scheme for implementation of Persons with Disability Act,mosjae_doeopwd_cse_cssp_npftwopwd,mosjae_doeopwd_cse_cssp_npftwopwd_sfiopwda,150.0,1500000000.0,17647058.82352941
12,Establishment Expenditure of the Centre,Attached Office CCPD,mosjae_doeopwd_cse_eeotc,mosjae_doeopwd_cse_eeotc_aoc,0.2,2000000.0,23529.41176470588
13,Establishment Expenditure of the Centre,Secretariat,mosjae_doeopwd_cse_eeotc,mosjae_doeopwd_cse_eeotc_s,42.52,425200000.00000006,5002352.941176471
