id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,GOI2023-24,,g2,5011474.900000001,50114749000000.016,589585282352.9414
1,GOI2023-24,Department of Atomic Energy,g2,g2_doae,25951.92,259519199999.99997,3053167058.8235292
2,GOI2023-24,Deparment of Space,g2,g2_dos,12543.91,125439100000.0,1475754117.6470587
3,GOI2023-24,Ministry of AYUSH,g2,g2_moa,3585.78,35857800000.0,421856470.5882353
4,GOI2023-24,Ministry of Agriculture and Farmers Welfare,g2,g2_moaafw,124796.0,1247960000000.0,14681882352.941177
5,GOI2023-24,Ministry of Communications,g2,g2_moc,123393.05000000002,1233930500000.0002,14516829411.76471
6,GOI2023-24,Ministry of Culture,g2,g2_moc,3399.6499999999996,33996499999.999996,399958823.52941173
7,GOI2023-24,Ministry of Cooperation,g2,g2_moc,1089.79,10897900000.0,128210588.23529412
8,GOI2023-24,Ministry of Coal,g2,g2_moc,192.32,1923200000.0,22625882.352941178
9,GOI2023-24,Ministry of Civil Aviation,g2,g2_moca,3113.3599999999997,31133599999.999996,366277647.05882347
10,GOI2023-24,Ministry of Corporate Affairs,g2,g2_moca,756.1700000000001,7561700000.000001,88961176.47058825
11,GOI2023-24,Ministry of Chemicals and Fertilisers,g2,g2_mocaf,178419.38,1784193800000.0,20990515294.117645
12,GOI2023-24,"Ministry of Consumer Affairs, Food and Public Distribution",g2,g2_mocafapd,205651.33000000002,2056513300000.0002,24194274117.64706
13,GOI2023-24,Ministry of Commerce and Industry,g2,g2_mocai,13455.210000000001,134552100000.00002,1582965882.3529413
14,GOI2023-24,Ministry of Defence,g2,g2_mod,593766.6900000001,5937666900000.001,69854904705.88237
15,GOI2023-24,Ministry of Development of North Eastern Region,g2,g2_modoner,5892.0,58920000000.0,693176470.5882353
16,GOI2023-24,Ministry of Education,g2,g2_moe,154656.46000000002,1546564600000.0002,18194877647.058826
17,GOI2023-24,Ministry of External Affairs,g2,g2_moea,18050.0,180500000000.0,2123529411.764706
18,GOI2023-24,Ministry of Electronics and Information Technology,g2,g2_moeait,16549.04,165490400000.0,1946945882.3529413
19,GOI2023-24,"Ministry of Environment, Forests and Climate Change",g2,g2_moefacc,2669.46,26694600000.0,314054117.64705884
20,GOI2023-24,Ministry of Earth Sciences,g2,g2_moes,3319.88,33198800000.0,390574117.64705884
21,GOI2023-24,Ministry of Finance,g2,g2_mof,1706957.9400000002,17069579400000.002,200818581176.4706
22,GOI2023-24,"Ministry of Fisheries, Animal Husbandry and Dairying",g2,g2_mofahad,6576.620000000001,65766200000.00001,773720000.0000001
23,GOI2023-24,Ministry of Food Processing Industries,g2,g2_mofpi,3160.6099999999997,31606099999.999996,371836470.58823526
24,GOI2023-24,Ministry of Home Affairs,g2,g2_moha,137315.13,1373151300000.0,16154721176.470589
25,GOI2023-24,Ministry of Health and Family Welfare,g2,g2_mohafw,88807.39,888073900000.0,10447928235.294117
26,GOI2023-24,Ministry of Housing and Urban Affairs,g2,g2_mohaua,76431.6,764316000000.0,8991952941.17647
27,GOI2023-24,Ministry of Heavy Industries,g2,g2_mohi,6171.630000000001,61716300000.00001,726074117.647059
28,GOI2023-24,Ministry of Information and Broadcasting,g2,g2_moiab,4267.25,42672500000.0,502029411.7647059
29,GOI2023-24,Ministry of Jal Shakti,g2,g2_mojs,98687.0,986870000000.0,11610235294.117647
30,GOI2023-24,Ministry of Labour and Employment,g2,g2_molae,13100.77,131007700000.0,1541267058.8235295
31,GOI2023-24,Ministry of Law and Justice,g2,g2_molaj,4486.44,44864399999.99999,527816470.5882352
32,GOI2023-24,Ministry of Mines,g2,g2_mom,1911.6000000000001,19116000000.0,224894117.6470588
33,GOI2023-24,Ministry of Minority Affairs,g2,g2_moma,2965.6,29656000000.0,348894117.64705884
34,GOI2023-24,"Ministry of Micro, Small and Medium Enterprises",g2,g2_momsame,22137.95,221379500000.0,2604464705.882353
35,GOI2023-24,Ministry of New and Renewable Energy,g2,g2_monare,10222.0,102220000000.0,1202588235.2941177
36,GOI2023-24,Ministry of Power,g2,g2_mop,20671.32,206713200000.0,2431920000.0
