id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Finance,,mof,1706957.9400000002,17069579400000.002,200818581176.4706
1,Ministry of Finance,Department of Expenditure,mof,mof_doe,517.34,5173400000.0,60863529.4117647
2,Ministry of Finance,Department of Economic Affairs,mof,mof_doea,10881.050000000001,108810500000.00002,1280123529.4117649
3,Ministry of Finance,Department of Financial Services,mof,mof_dofs,1324.64,13246400000.000002,155840000.00000003
4,Ministry of Finance,Department of Investment and Public Asset Management (DIPAM),mof,mof_doiapamd,94.92,949200000.0,11167058.823529411
5,Ministry of Finance,Department of Public Enterprises,mof,mof_dope,33.05,330500000.0,3888235.294117647
6,Ministry of Finance,Department of Revenue,mof,mof_dor,145940.46,1459404600000.0,17169465882.352942
7,Ministry of Finance,Direct Taxes,mof,mof_dt,9890.87,98908700000.00002,1163631764.7058825
8,Ministry of Finance,Indian Audit and Accounts Department,mof,mof_iaaad,6183.030000000001,61830300000.00001,727415294.1176472
9,Ministry of Finance,Interest Payments,mof,mof_ip,1079971.0,10799710000000.0,127055411764.70589
10,Ministry of Finance,Indirect Taxes,mof,mof_it,38510.58,385105800000.0,4530656470.588235
11,Ministry of Finance,Pensions,mof,mof_p,71701.0,717010000000.0,8435411764.705882
12,Ministry of Finance,Transfers to States,mof,mof_tts,341910.0,3419100000000.0,40224705882.35294
13,Department of Expenditure,CENTRE'S EXPENDITURE,mof_doe,mof_doe_cse,517.34,5173400000.0,60863529.4117647
14,CENTRE'S EXPENDITURE,Autonomous Bodies,mof_doe_cse,mof_doe_cse_ab,15.1,151000000.0,1776470.5882352942
15,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mof_doe_cse,mof_doe_cse_eeotc,502.24,5022400000.0,59087058.823529415
16,Autonomous Bodies,National Institute of Financial Management,mof_doe_cse_ab,mof_doe_cse_ab_niofm,15.1,151000000.0,1776470.5882352942
17,Establishment Expenditure of the Centre,Institute of Government Accounts and Finance,mof_doe_cse_eeotc,mof_doe_cse_eeotc_iogaaf,10.98,109800000.0,1291764.705882353
18,Establishment Expenditure of the Centre,NSDL Charges for New Pension Scheme,mof_doe_cse_eeotc,mof_doe_cse_eeotc_ncfnps,30.5,305000000.0,3588235.294117647
19,Establishment Expenditure of the Centre,Secretariat  General Services,mof_doe_cse_eeotc,mof_doe_cse_eeotc_sgs,460.76,4607600000.0,54207058.823529415
20,Department of Economic Affairs,CENTRE'S EXPENDITURE,mof_doea,mof_doea_cse,10881.050000000001,108810500000.00002,1280123529.4117649
21,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mof_doea_cse,mof_doea_cse_cssp,3825.0,38250000000.0,450000000.0
22,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mof_doea_cse,mof_doea_cse_eeotc,295.33000000000004,2953300000.0000005,34744705.88235295
23,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mof_doea_cse,mof_doea_cse_ocse,6760.72,67607200000.0,795378823.5294118
24,Central Sector Schemes/Projects,Gross Budgetary Support,mof_doea_cse_cssp,mof_doea_cse_cssp_gbs,2000.0,20000000000.0,235294117.6470588
25,Central Sector Schemes/Projects,Interest Equalisation Support,mof_doea_cse_cssp,mof_doea_cse_cssp_ies,1300.0,13000000000.0,152941176.47058824
26,Central Sector Schemes/Projects,India Infrastructure Project Development Fund (IIPDF),mof_doea_cse_cssp,mof_doea_cse_cssp_iipdfi,25.0,250000000.0,2941176.470588235
27,Central Sector Schemes/Projects,Viability Gap Funding,mof_doea_cse_cssp,mof_doea_cse_cssp_vgf,500.0,5000000000.0,58823529.4117647
