id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Tribal Affairs,,mota,12401.0,124010000000.0,1458941176.4705882
1,Ministry of Tribal Affairs,Ministry of Tribal Affairs,mota,mota_mota,12401.0,124010000000.0,1458941176.4705882
2,Ministry of Tribal Affairs,CENTRE'S EXPENDITURE,mota_mota,mota_mota_cse,6633.49,66334900000.0,780410588.2352941
3,Ministry of Tribal Affairs,TRANSFERS TO STATES/UTs,mota_mota,mota_mota_ttsu,5767.51,57675100000.0,678530588.2352941
4,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mota_mota_cse,mota_mota_cse_cssp,6618.49,66184900000.0,778645882.3529412
5,CENTRE'S EXPENDITURE,Public Sector Undertakings,mota_mota_cse,mota_mota_cse_psu,15.0,150000000.0,1764705.8823529412
6,Central Sector Schemes/Projects,Eklavya Model Residential Schools (EMRS),mota_mota_cse_cssp,mota_mota_cse_cssp_emrse,6598.49,65984900000.0,776292941.1764706
7,Central Sector Schemes/Projects,National Tribal Welfare Program,mota_mota_cse_cssp,mota_mota_cse_cssp_ntwp,20.0,200000000.0,2352941.1764705884
8,Eklavya Model Residential Schools (EMRS),Eklavya Model Residential Schools (EMRS),mota_mota_cse_cssp_emrse,mota_mota_cse_cssp_emrse_emrse,5943.0,59430000000.0,699176470.5882353
9,Eklavya Model Residential Schools (EMRS),National Tribal Welfare Program,mota_mota_cse_cssp_emrse,mota_mota_cse_cssp_emrse_ntwp,655.49,6554900000.0,77116470.58823529
10,National Tribal Welfare Program,Aid to Voluntary Organizations working for the welfare of scheduled Tribes,mota_mota_cse_cssp_emrse_ntwp,mota_mota_cse_cssp_emrse_ntwp_atvowftwost,140.0,1400000000.0,16470588.235294119
11,National Tribal Welfare Program,"Monitoring, Evaluation, Survey, Social Audit (MESSA)",mota_mota_cse_cssp_emrse_ntwp,mota_mota_cse_cssp_emrse_ntwp_messam,23.0,230000000.0,2705882.3529411764
12,National Tribal Welfare Program,National Fellowship and Scholarship for Higher Education of ST students,mota_mota_cse_cssp_emrse_ntwp,mota_mota_cse_cssp_emrse_ntwp_nfasfheoss,145.0,1450000000.0,17058823.529411763
13,National Tribal Welfare Program,National Overseas Scholarship Scheme,mota_mota_cse_cssp_emrse_ntwp,mota_mota_cse_cssp_emrse_ntwp_noss,4.0,40000000.0,470588.23529411765
14,National Tribal Welfare Program,Pradhan Mantri Jan Jatiya Vikas Mission (PMJVM),mota_mota_cse_cssp_emrse_ntwp,mota_mota_cse_cssp_emrse_ntwp_pmjjvmp,288.49,2884900000.0,33940000.0
15,National Tribal Welfare Program,"Tribal Research Information, Education, Communication and Events (TRI-ECE)",mota_mota_cse_cssp_emrse_ntwp,mota_mota_cse_cssp_emrse_ntwp_triecaete,25.0,250000000.0,2941176.470588235
16,National Tribal Welfare Program,Venture Capital Fund for Scheduled Tribes,mota_mota_cse_cssp_emrse_ntwp,mota_mota_cse_cssp_emrse_ntwp_vcffst,30.0,300000000.0,3529411.7647058824
17,National Tribal Welfare Program,Marketing and Logistics Development for Promoting Tribal Products from North Eastern Region.,mota_mota_cse_cssp_ntwp,mota_mota_cse_cssp_ntwp_maldfptpfner,20.0,200000000.0,2352941.1764705884
18,Public Sector Undertakings,Support to National/state Scheduled Tribes Finance and Development Corporation,mota_mota_cse_psu,mota_mota_cse_psu_stnsstfadc,15.0,150000000.0,1764705.8823529412
19,TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,mota_mota_ttsu,mota_mota_ttsu_css,4295.400000000001,42954000000.00001,505341176.4705883
20,TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,mota_mota_ttsu,mota_mota_ttsu_oglt,1472.11,14721099999.999998,173189411.76470587
21,Centrally Sponsored Schemes,Umbrella Programme for Development of Scheduled Tribes,mota_mota_ttsu_css,mota_mota_ttsu_css_upfdost,4295.400000000001,42954000000.00001,505341176.4705883
22,Umbrella Programme for Development of Scheduled Tribes,Programme for Development of Scheduled Tribes(PM Vanbandhu Kalyan Yojna),mota_mota_ttsu_css_upfdost,mota_mota_ttsu_css_upfdost_pfdostpvky,4295.400000000001,42954000000.00001,505341176.4705883
23,Programme for Development of Scheduled Tribes(PM Vanbandhu Kalyan Yojna),Administrative Cost to States/UTs,mota_mota_ttsu_css_upfdost_pfdostpvky,mota_mota_ttsu_css_upfdost_pfdostpvky_actsu,53.22,532200000.0,6261176.470588235
24,Programme for Development of Scheduled Tribes(PM Vanbandhu Kalyan Yojna),Development of Particularly Vulnerable Tribal Groups(PVTGs),mota_mota_ttsu_css_upfdost_pfdostpvky,mota_mota_ttsu_css_upfdost_pfdostpvky_dopvtgp,256.14,2561400000.0,30134117.647058822
25,Programme for Development of Scheduled Tribes(PM Vanbandhu Kalyan Yojna),Pradhan Mantri Adi Adarsh Gram Yojna (PMAAGY),mota_mota_ttsu_css_upfdost_pfdostpvky,mota_mota_ttsu_css_upfdost_pfdostpvky_pmaagyp,1485.0,14850000000.0,174705882.3529412
26,Programme for Development of Scheduled Tribes(PM Vanbandhu Kalyan Yojna),Post- Matric Scholarship for STs,mota_mota_ttsu_css_upfdost_pfdostpvky,mota_mota_ttsu_css_upfdost_pfdostpvky_pmsfs,1970.77,19707700000.0,231855294.11764705
27,Programme for Development of Scheduled Tribes(PM Vanbandhu Kalyan Yojna),Pre- Matric Scholarship for STs,mota_mota_ttsu_css_upfdost_pfdostpvky,mota_mota_ttsu_css_upfdost_pfdostpvky_pmsfs,411.63,4116300000.0,48427058.823529415
28,Programme for Development of Scheduled Tribes(PM Vanbandhu Kalyan Yojna),Support to Tribal Research Institute,mota_mota_ttsu_css_upfdost_pfdostpvky,mota_mota_ttsu_css_upfdost_pfdostpvky_sttri,118.64,1186400000.0,13957647.05882353
29,Other Grants/Loans/Transfers,Grants under proviso to Article 275(1) of the Constitution,mota_mota_ttsu_oglt,mota_mota_ttsu_oglt_gupta21otc,1472.11,14721099999.999998,173189411.76470587
30,Grants under proviso to Article 275(1) of the Constitution,Grants under proviso to Article 275(1) of the Constitution,mota_mota_ttsu_oglt_gupta21otc,mota_mota_ttsu_oglt_gupta21otc_gupta21otc,1472.1,14721000000.0,173188235.29411766
