source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Home Affairs
Demand No. 54
Ministry of Home Affairs (Dadra and Nagar Haveli and Daman and Diu)",r,r_mohadn5mohadanhadad,2475.0,24750000000.0,291176470.5882353
"Ministry of Home Affairs
Demand No. 54
Ministry of Home Affairs (Dadra and Nagar Haveli and Daman and Diu)",CENTRE'S EXPENDITURE,r_mohadn5mohadanhadad,r_mohadn5mohadanhadad_cse,2475.0,24750000000.0,291176470.5882353
CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,r_mohadn5mohadanhadad_cse,r_mohadn5mohadanhadad_cse_eeotc,732.87,7328700000.0,86220000.0
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mohadn5mohadanhadad_cse,r_mohadn5mohadanhadad_cse_ocse,1742.13,17421300000.0,204956470.5882353
Establishment Expenditure of the Centre,Other Establishment,r_mohadn5mohadanhadad_cse_eeotc,r_mohadn5mohadanhadad_cse_eeotc_oe,711.42,7114200000.0,83696470.58823529
Establishment Expenditure of the Centre,Secretariat,r_mohadn5mohadanhadad_cse_eeotc,r_mohadn5mohadanhadad_cse_eeotc_s,21.45,214500000.0,2523529.411764706
Other Central Sector Expenditure,Others,r_mohadn5mohadanhadad_cse_ocse,r_mohadn5mohadanhadad_cse_ocse_o,1742.13,17421300000.0,204956470.5882353
Others,Grantee / Other Bodies,r_mohadn5mohadanhadad_cse_ocse_o,r_mohadn5mohadanhadad_cse_ocse_o_gob,611.24,6112400000.0,71910588.23529412
Others,Other Expenditure of UT,r_mohadn5mohadanhadad_cse_ocse_o,r_mohadn5mohadanhadad_cse_ocse_o_oeou,3.6,36000000.0,423529.4117647059
Others,Schemes of UT,r_mohadn5mohadanhadad_cse_ocse_o,r_mohadn5mohadanhadad_cse_ocse_o_sou,1125.6,11256000000.0,132423529.41176471
Others,Tribal Area Component,r_mohadn5mohadanhadad_cse_ocse_o,r_mohadn5mohadanhadad_cse_ocse_o_tac,1.33,13300000.0,156470.58823529413
Others,UTs Supplement to Centrally Sponsored Schemes,r_mohadn5mohadanhadad_cse_ocse_o,r_mohadn5mohadanhadad_cse_ocse_o_ustcss,0.36,3600000.0,42352.94117647059
Grantee / Other Bodies,Grants to District Panchayats and Village Panchayats,r_mohadn5mohadanhadad_cse_ocse_o_gob,r_mohadn5mohadanhadad_cse_ocse_o_gob_gtdpavp,407.3,4073000000.0,47917647.058823526
Grantee / Other Bodies,Grants to Municipal Councils,r_mohadn5mohadanhadad_cse_ocse_o_gob,r_mohadn5mohadanhadad_cse_ocse_o_gob_gtmc,118.8,1188000000.0,13976470.588235294
Grantee / Other Bodies,Other Grantee Bodies,r_mohadn5mohadanhadad_cse_ocse_o_gob,r_mohadn5mohadanhadad_cse_ocse_o_gob_ogb,85.14,851400000.0,10016470.588235294
Schemes of UT,Construction and Development of Ports and Light Houses,r_mohadn5mohadanhadad_cse_ocse_o_sou,r_mohadn5mohadanhadad_cse_ocse_o_sou_cadopalh,1.01,10100000.0,118823.5294117647
Schemes of UT,"Forests, Wildlife including Ecology and Environment",r_mohadn5mohadanhadad_cse_ocse_o_sou,r_mohadn5mohadanhadad_cse_ocse_o_sou_fwieae,36.69,366900000.0,4316470.588235294
Schemes of UT,Government Accommodation for General Pool,r_mohadn5mohadanhadad_cse_ocse_o_sou,r_mohadn5mohadanhadad_cse_ocse_o_sou_gafgp,12.16,121600000.0,1430588.2352941176
Schemes of UT,Industrial Training Institutes,r_mohadn5mohadanhadad_cse_ocse_o_sou,r_mohadn5mohadanhadad_cse_ocse_o_sou_iti,0.2,2000000.0,23529.41176470588
Schemes of UT,Labour welfare,r_mohadn5mohadanhadad_cse_ocse_o_sou,r_mohadn5mohadanhadad_cse_ocse_o_sou_lw,0.35,3500000.0,41176.470588235294
Schemes of UT,Public Works,r_mohadn5mohadanhadad_cse_ocse_o_sou,r_mohadn5mohadanhadad_cse_ocse_o_sou_pw,83.59,835900000.0,9834117.647058824
Schemes of UT,Police Welfare Schemes,r_mohadn5mohadanhadad_cse_ocse_o_sou,r_mohadn5mohadanhadad_cse_ocse_o_sou_pws,27.85,278500000.0,3276470.588235294
