name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Make in India,Fund of Funds,,1470.0,0.17294117647058824
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Make in India,Credit Guarantee Fund,,250.0,0.029411764705882353
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Make in India,Scheme for Investment Promotion,,195.0,0.022941176470588236
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Make in India,Startup India Seed Fund Scheme (SISFS),,160.0,0.018823529411764708
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Make in India,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),,65.0,0.007647058823529412
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Make in India,Startup India,,30.0,0.0035294117647058825
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Make in India,Ease of Doing Business,,10.0,0.0011764705882352942
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Industrial Corridors,National Industrial Corridor Development and Implementation Trust (NICDIT),,2000.0,0.23529411764705882
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,,,1713.88,0.2016329411764706
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,North East Industrial Development Scheme (NEIDS) 2017,,400.0,0.047058823529411764
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",,250.0,0.029411764705882353
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,North Eastern Industrial and Investment Promotion Policy (NEIPP),,200.0,0.023529411764705882
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,Industrial Development of UT of Jammu and Kashmir,,150.0,0.01764705882352941
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,Transport/Freight Subsidy Scheme,,50.0,0.0058823529411764705
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",,50.0,0.0058823529411764705
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Development of Backward and Remote Areas,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",,8.0,0.0009411764705882353
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Footwear, Leather and Accessories Development Programme (FLADP)",,,250.0,0.029411764705882353
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Industrial Development of Ladakh, 2022",,,97.3,0.011447058823529411
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Price and Production Statistics,,,17.85,0.0021
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Infrastructure Upgradation Scheme (IIUS),,,5.0,0.0005882352941176471
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Intellectual Property,Controller General of Patent Designs and Trademarks,,281.6,0.03312941176470588
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Intellectual Property,Intellectual Policy Rights (IPR) Policy Management,,36.31,0.0042717647058823525
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Intellectual Property,Infrastructure Development in Controller General of Patents Designs and Trade Marks (IDCGPDTM),,11.0,0.0012941176470588236
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,,202.1,0.02377647058823529
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Petroleum and Explosives Safety Organisation (PESO),,65.0,0.007647058823529412
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Salt Commissioner,,52.09,0.006128235294117648
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Survey of Boiler,,0.25,2.9411764705882354e-05
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Autonomous Organisations,Support to Autonomous Institutions,116.66,0.013724705882352941
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Autonomous Organisations,Assistance to Autonomous Bodies,40.75,0.004794117647058823
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Autonomous Organisations,Asian Productivity Organization/United Nations Industrial Development Organization,22.0,0.0025882352941176473
"Ministry of Commerce and Industry
Demand No. 11
Department for Promotion of Industry and Internal Trade",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Autonomous Organisations,World Intellectual Property Organisation (WIPO),0.83,9.764705882352942e-05
