name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Capital Support to Oil Marketing Companies,,30000.0,3.5294117647058827
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Strategic Oil Reserves,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve,5000.0,0.5882352941176471
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Strategic Oil Reserves,Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems),508.0,0.05976470588235294
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Strategic Oil Reserves,Payment to ISPRL for Strategic Crude Oil Reserve (O and M),202.81,0.02386
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,LPG Subsidy,Other subsidy payable including for North Eastern Region,1633.02,0.19212
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,LPG Subsidy,Feedstock Subsidy to BCPL/Assam Gas Cracker Complex,392.06,0.04612470588235294
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,LPG Subsidy,Direct Benefit Transfer - LPG,180.0,0.021176470588235293
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,LPG Subsidy,Project Management Expenditure,52.0,0.00611764705882353
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Numaligarh Refinery Expansion Project,,500.0,0.058823529411764705
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Scheme for promotion of flagging of merchant ships in India,,290.44,0.03416941176470588
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Refinery and Conservation,Pradhan Mantri JI-VAN Yojna,227.26,0.026736470588235292
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid,Programme Component,1800.0,0.21176470588235294
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institute of Petroleum Energy,168.0,0.01976470588235294
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Society for Petroleum Laboratories,1.24,0.00014588235294117648
"Ministry of Petroleum and Natural Gas
Demand No. 76
Ministry of Petroleum and Natural Gas",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,52.88,0.006221176470588235
