id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,Ministry of Home Affairs,Cabinet,moha,moha_c,1258.68,12586800000.0,148080000.0
1,Ministry of Home Affairs,Ministry of Home Affairs,moha,moha_moha,5010.8,50108000000.0,589505882.3529412
2,Ministry of Home Affairs,Ministry of Home Affairs (Andaman and Nicobar Islands),moha,moha_mohaaani,5987.139999999999,59871399999.99999,704369411.7647058
3,Ministry of Home Affairs,Ministry of Home Affairs (Chandigarh),moha,moha_mohac,5436.1,54361000000.0,639541176.4705882
4,Ministry of Home Affairs,Ministry of Home Affairs (Dadra and Nagar Haveli and Daman and Diu),moha,moha_mohadanhadad,2475.0,24750000000.0,291176470.5882353
5,Ministry of Home Affairs,Ministry of Home Affairs (Ladakh),moha,moha_mohal,5958.0,59580000000.0,700941176.4705882
6,Ministry of Home Affairs,Ministry of Home Affairs (Lakshadweep),moha,moha_mohal,1394.75,13947500000.0,164088235.29411766
7,Ministry of Home Affairs,Police,moha,moha_p,69926.68999999999,699266899999.9999,8226669411.764705
8,Ministry of Home Affairs,Transfers to Delhi,moha,moha_ttd,1168.01,11680100000.0,137412941.17647058
9,Ministry of Home Affairs,Transfers to Jammu and Kashmir,moha,moha_ttjak,35581.44,355814400000.0,4186051764.7058825
10,Ministry of Home Affairs,Transfers to Puducherry,moha,moha_ttp,3117.77,31177700000.0,366796470.5882353
11,Cabinet,CENTRE'S EXPENDITURE,moha_c,moha_c_cse,1258.68,12586800000.0,148080000.0
12,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moha_c_cse,moha_c_cse_eeotc,1258.68,12586800000.0,148080000.0
13,Establishment Expenditure of the Centre,Council of Ministers,moha_c_cse_eeotc,moha_c_cse_eeotc_com,832.81,8328099999.999999,97977647.05882351
14,Establishment Expenditure of the Centre,Cabinet Secretariat,moha_c_cse_eeotc,moha_c_cse_eeotc_cs,71.91,719100000.0,8460000.0
15,Establishment Expenditure of the Centre,Hospitality and Entertainment Expenses,moha_c_cse_eeotc,moha_c_cse_eeotc_haee,6.88,68800000.0,809411.7647058824
16,Establishment Expenditure of the Centre,National Security Council Secretariat,moha_c_cse_eeotc,moha_c_cse_eeotc_nscs,185.7,1857000000.0,21847058.82352941
17,Establishment Expenditure of the Centre,Office of Principal Scientific Advisor,moha_c_cse_eeotc,moha_c_cse_eeotc_oopsa,96.93,969300000.0000001,11403529.411764707
18,Establishment Expenditure of the Centre,Prime Minister's Office,moha_c_cse_eeotc,moha_c_cse_eeotc_pmso,62.65,626500000.0,7370588.235294118
19,Establishment Expenditure of the Centre,Secretariat assistance to Ex-Governors,moha_c_cse_eeotc,moha_c_cse_eeotc_sateg,1.8,18000000.0,211764.70588235295
20,Ministry of Home Affairs,CENTRE'S EXPENDITURE,moha_moha,moha_moha_cse,4833.49,48334900000.0,568645882.3529412
21,Ministry of Home Affairs,TRANSFERS TO STATES/UTs,moha_moha,moha_moha_ttsu,177.31,1773100000.0,20860000.0
22,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moha_moha_cse,moha_moha_cse_cssp,1504.34,15043400000.0,176981176.47058824
23,CENTRE'S EXPENDITURE,National Disaster Response Force (NDRF),moha_moha_cse,moha_moha_cse_ndrfn,1601.02,16010200000.0,188355294.11764705
24,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moha_moha_cse,moha_moha_cse_ocse,1728.13,17281300000.0,203309411.7647059
25,Central Sector Schemes/Projects,Civic Action Programme and Media Plan,moha_moha_cse_cssp,moha_moha_cse_cssp_capamp,30.0,300000000.0,3529411.7647058824
26,Central Sector Schemes/Projects,Disaster Management,moha_moha_cse_cssp,moha_moha_cse_cssp_dm,393.65,3936500000.0,46311764.705882356
27,Central Sector Schemes/Projects,Freedom Fighters (pension and other benefits),moha_moha_cse_cssp,moha_moha_cse_cssp_ffpaob,653.08,6530800000.0,76832941.1764706
28,Central Sector Schemes/Projects,Helicopter Services,moha_moha_cse_cssp,moha_moha_cse_cssp_hs,126.0,1260000000.0,14823529.411764706
29,Disaster Management,Infrastructure for Disaster Management,moha_moha_cse_cssp_dm,moha_moha_cse_cssp_dm_ifdm,141.73,1417300000.0,16674117.647058824
30,Disaster Management,Other Disaster Management Schemes,moha_moha_cse_cssp_dm,moha_moha_cse_cssp_dm_odms,251.92,2519200000.0,29637647.05882353
31,Helicopter Services,Jammu and Kashmir and Himachal Pradesh,moha_moha_cse_cssp_hs,moha_moha_cse_cssp_hs_jakahp,11.0,110000000.0,1294117.6470588236
32,Helicopter Services,Ladakh,moha_moha_cse_cssp_hs,moha_moha_cse_cssp_hs_l,5.0,50000000.0,588235.2941176471
33,Helicopter Services,North Eastern Region,moha_moha_cse_cssp_hs,moha_moha_cse_cssp_hs_ner,110.0,1100000000.0,12941176.470588235
34,Other Central Sector Expenditure,Autonomous Bodies,moha_moha_cse_ocse,moha_moha_cse_ocse_ab,70.0,700000000.0,8235294.117647059
35,Other Central Sector Expenditure,Others,moha_moha_cse_ocse,moha_moha_cse_ocse_o,1658.13,16581300000.000002,195074117.64705884
36,Autonomous Bodies,National Human Right Commission (NHRC),moha_moha_cse_ocse_ab,moha_moha_cse_ocse_ab_nhrcn,70.0,700000000.0,8235294.117647059
37,Others,"Census, Survey and Statistics/Registrar General of India(RGI)",moha_moha_cse_ocse_o,moha_moha_cse_ocse_o_csasrgoir,1564.65,15646500000.0,184076470.5882353
38,Others,Other Central Miscellaneous Expenditure,moha_moha_cse_ocse_o,moha_moha_cse_ocse_o_ocme,93.48,934800000.0,10997647.05882353
39,TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,moha_moha_ttsu,moha_moha_ttsu_css,110.0,1100000000.0,12941176.470588235
40,TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,moha_moha_ttsu,moha_moha_ttsu_oglt,67.31,673100000.0,7918823.529411765
41,Centrally Sponsored Schemes,National Cyclone Risk Mitigation Project,moha_moha_ttsu_css,moha_moha_ttsu_css_ncrmp,110.0,1100000000.0,12941176.470588235
42,Other Grants/Loans/Transfers,Civil Defence,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_cd,8.0,80000000.0,941176.4705882353
43,Other Grants/Loans/Transfers,Grants to Autonomous Council for North Eastern States,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_gtacfnes,1.0,10000000.0,117647.05882352941
44,Other Grants/Loans/Transfers,Home Guards,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_hg,18.31,183100000.0,2154117.6470588236
45,Other Grants/Loans/Transfers,Payment to State Governments for Administration of Central Acts,moha_moha_ttsu_oglt,moha_moha_ttsu_oglt_ptsgfaoca,40.0,400000000.0,4705882.352941177
46,Ministry of Home Affairs (Andaman and Nicobar Islands),CENTRE'S EXPENDITURE,moha_mohaaani,moha_mohaaani_cse,5987.139999999999,59871399999.99999,704369411.7647058
47,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moha_mohaaani_cse,moha_mohaaani_cse_eeotc,2646.5,26465000000.0,311352941.1764706
48,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moha_mohaaani_cse,moha_mohaaani_cse_ocse,3340.64,33406400000.0,393016470.5882353
49,Establishment Expenditure of the Centre,Other Establishment,moha_mohaaani_cse_eeotc,moha_mohaaani_cse_eeotc_oe,2572.24,25722399999.999996,302616470.58823526
50,Establishment Expenditure of the Centre,Secretariat,moha_mohaaani_cse_eeotc,moha_mohaaani_cse_eeotc_s,74.26,742600000.0,8736470.588235294
51,Other Central Sector Expenditure,Others,moha_mohaaani_cse_ocse,moha_mohaaani_cse_ocse_o,3340.64,33406400000.0,393016470.5882353
52,Others,Grantee / Other Bodies,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_gob,9.9,99000000.0,1164705.8823529412
53,Others,Schemes of UT,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_sou,0.5,5000000.0,58823.529411764706
54,Others,Tribal Area Component,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_tac,226.76,2267600000.0,26677647.05882353
55,Others,UT's Supplement to Centrally Sponsored Schemes,moha_mohaaani_cse_ocse_o,moha_mohaaani_cse_ocse_o_usstcss,30.6,306000000.0,3600000.0
56,Grantee / Other Bodies,SOVTECH,moha_mohaaani_cse_ocse_o_gob,moha_mohaaani_cse_ocse_o_gob_s,3.9,39000000.0,458823.5294117647
57,SOVTECH,Other Grantee Bodies,moha_mohaaani_cse_ocse_o_gob_s,moha_mohaaani_cse_ocse_o_gob_s_ogb,3.9,39000000.0,458823.5294117647
58,Ministry of Home Affairs (Chandigarh),CENTRE'S EXPENDITURE,moha_mohac,moha_mohac_cse,5436.1,54361000000.0,639541176.4705882
59,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moha_mohac_cse,moha_mohac_cse_eeotc,2867.16,28671600000.0,337312941.1764706
60,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moha_mohac_cse,moha_mohac_cse_ocse,2568.94,25689400000.0,302228235.2941176
61,Establishment Expenditure of the Centre,Other Establishment,moha_mohac_cse_eeotc,moha_mohac_cse_eeotc_oe,2840.29,28402900000.0,334151764.7058824
62,Establishment Expenditure of the Centre,Secretariat,moha_mohac_cse_eeotc,moha_mohac_cse_eeotc_s,26.87,268700000.0,3161176.470588235
63,Other Central Sector Expenditure,Others,moha_mohac_cse_ocse,moha_mohac_cse_ocse_o,2568.94,25689400000.0,302228235.2941176
64,Others,Grantee / Other Bodies,moha_mohac_cse_ocse_o,moha_mohac_cse_ocse_o_gob,987.84,9878400000.0,116216470.58823529
65,Others,Schemes of UT,moha_mohac_cse_ocse_o,moha_mohac_cse_ocse_o_sou,1566.1,15661000000.0,184247058.82352942
66,Others,UT's Supplement to Centrally Sponsored Schemes,moha_mohac_cse_ocse_o,moha_mohac_cse_ocse_o_usstcss,15.0,150000000.0,1764705.8823529412
67,Schemes of UT,"Art, Culture and Museum",moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_acam,4.05,40500000.0,476470.5882352941
68,Schemes of UT,Education,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_e,112.39,1123900000.0,13222352.94117647
69,Schemes of UT,"Forests, Wildlife, Ecology and Environment",moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_fweae,36.29,362900000.0,4269411.764705882
70,Schemes of UT,Govt- Housing,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_gh,15.83,158300000.0,1862352.9411764706
71,Schemes of UT,Health Services,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_hs,69.52,695200000.0,8178823.529411765
72,Schemes of UT,Khadi and Village Industries,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_kavi,15.0,150000000.0,1764705.8823529412
73,Schemes of UT,Other Schemes,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_os,123.8,1238000000.0,14564705.88235294
74,Schemes of UT,Power and Renewable Energy,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_pare,858.75,8587500000.0,101029411.76470588
75,Schemes of UT,Police Housing and Allied works,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_phaaw,94.82,948199999.9999999,11155294.117647057
76,Schemes of UT,Road and Transport,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_rat,75.55,755500000.0,8888235.294117646
77,Schemes of UT,Urban Development,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_ud,101.63,1016300000.0,11956470.588235294
78,Schemes of UT,Welfare of Differently Abled and Aged,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_wodaaa,19.34,193400000.0,2275294.117647059
79,Schemes of UT,Welfare of Women and Children,moha_mohac_cse_ocse_o_sou,moha_mohac_cse_ocse_o_sou_wowac,39.13,391300000.0,4603529.411764706
80,Ministry of Home Affairs (Dadra and Nagar Haveli and Daman and Diu),CENTRE'S EXPENDITURE,moha_mohadanhadad,moha_mohadanhadad_cse,2475.0,24750000000.0,291176470.5882353
81,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,moha_mohadanhadad_cse,moha_mohadanhadad_cse_eeotc,732.87,7328700000.0,86220000.0
82,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moha_mohadanhadad_cse,moha_mohadanhadad_cse_ocse,1742.13,17421300000.0,204956470.5882353
83,Establishment Expenditure of the Centre,Other Establishment,moha_mohadanhadad_cse_eeotc,moha_mohadanhadad_cse_eeotc_oe,711.42,7114200000.0,83696470.58823529
84,Establishment Expenditure of the Centre,Secretariat,moha_mohadanhadad_cse_eeotc,moha_mohadanhadad_cse_eeotc_s,21.45,214500000.0,2523529.411764706
85,Other Central Sector Expenditure,Others,moha_mohadanhadad_cse_ocse,moha_mohadanhadad_cse_ocse_o,1742.13,17421300000.0,204956470.5882353
86,Others,Grantee / Other Bodies,moha_mohadanhadad_cse_ocse_o,moha_mohadanhadad_cse_ocse_o_gob,611.24,6112400000.0,71910588.23529412
87,Others,Other Expenditure of UT,moha_mohadanhadad_cse_ocse_o,moha_mohadanhadad_cse_ocse_o_oeou,3.6,36000000.0,423529.4117647059
88,Others,Schemes of UT,moha_mohadanhadad_cse_ocse_o,moha_mohadanhadad_cse_ocse_o_sou,1125.6,11256000000.0,132423529.41176471
89,Others,Tribal Area Component,moha_mohadanhadad_cse_ocse_o,moha_mohadanhadad_cse_ocse_o_tac,1.33,13300000.0,156470.58823529413
90,Others,UTs Supplement to Centrally Sponsored Schemes,moha_mohadanhadad_cse_ocse_o,moha_mohadanhadad_cse_ocse_o_ustcss,0.36,3600000.0,42352.94117647059
91,Grantee / Other Bodies,Grants to District Panchayats and Village Panchayats,moha_mohadanhadad_cse_ocse_o_gob,moha_mohadanhadad_cse_ocse_o_gob_gtdpavp,407.3,4073000000.0,47917647.058823526
92,Grantee / Other Bodies,Grants to Municipal Councils,moha_mohadanhadad_cse_ocse_o_gob,moha_mohadanhadad_cse_ocse_o_gob_gtmc,118.8,1188000000.0,13976470.588235294
93,Grantee / Other Bodies,Other Grantee Bodies,moha_mohadanhadad_cse_ocse_o_gob,moha_mohadanhadad_cse_ocse_o_gob_ogb,85.14,851400000.0,10016470.588235294
94,Schemes of UT,Construction and Development of Ports and Light Houses,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_cadopalh,1.01,10100000.0,118823.5294117647
95,Schemes of UT,"Forests, Wildlife including Ecology and Environment",moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_fwieae,36.69,366900000.0,4316470.588235294
96,Schemes of UT,Government Accommodation for General Pool,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_gafgp,12.16,121600000.0,1430588.2352941176
97,Schemes of UT,Industrial Training Institutes,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_iti,0.2,2000000.0,23529.41176470588
98,Schemes of UT,Labour welfare,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_lw,0.35,3500000.0,41176.470588235294
99,Schemes of UT,Public Works,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_pw,83.59,835900000.0,9834117.647058824
100,Schemes of UT,Police Welfare Schemes,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_pws,27.85,278500000.0,3276470.588235294
101,Schemes of UT,Roads and Bridges,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_rab,360.58,3605800000.0,42421176.47058824
102,Schemes of UT,Relief on Account of Natural Calamities,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_roaonc,1.7,17000000.0,200000.0
103,Schemes of UT,Schemes for Agriculture and Allied Activities,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_sfaaaa,22.67,226700000.00000003,2667058.823529412
104,Schemes of UT,Scheme for Differently Able and Aged,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_sfdaaa,0.5,5000000.0,58823.529411764706
105,Schemes of UT,Scheme for Development of Sport,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_sfdos,1.6,16000000.0,188235.29411764705
106,Schemes of UT,Schemes for industrial promotion,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_sfip,40.0,400000000.0,4705882.352941177
107,Schemes of UT,"Schemes for SCs, STs, OBCs and Minorities",moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_sfssoam,0.5,5000000.0,58823.529411764706
108,Schemes of UT,Scheme for Tourism,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_sft,49.34,493400000.00000006,5804705.882352942
109,Schemes of UT,Schemes related to Civil Aviation,moha_mohadanhadad_cse_ocse_o_sou,moha_mohadanhadad_cse_ocse_o_sou_srtca,50.01,500100000.0,5883529.411764706
