id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Agriculture and Farmers Welfare,,moaafw,124796.0,1247960000000.0,14681882352.941177
1,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,moaafw,moaafw_doaafw,115292.0,1152920000000.0,13563764705.882353
2,Ministry of Agriculture and Farmers Welfare,Department of Agricultural Research and Education,moaafw,moaafw_doarae,9504.0,95040000000.0,1118117647.0588236
3,Department of Agriculture and Farmers Welfare,CENTRE'S EXPENDITURE,moaafw_doaafw,moaafw_doaafw_cse,100616.18000000001,1006161800000.0001,11837197647.058825
4,Department of Agriculture and Farmers Welfare,TRANSFERS TO STATES/UTs,moaafw_doaafw,moaafw_doaafw_ttsu,14675.82,146758200000.0,1726567058.8235295
5,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moaafw_doaafw_cse,moaafw_doaafw_cse_cssp,98980.03,989800300000.0,11644709411.764706
6,CENTRE'S EXPENDITURE,International Cooperation,moaafw_doaafw_cse,moaafw_doaafw_cse_ic,45.92,459200000.0,5402352.94117647
7,CENTRE'S EXPENDITURE,Other Attached and Subordinate Offices,moaafw_doaafw_cse,moaafw_doaafw_cse_oaaso,1119.66,11196600000.0,131724705.88235295
8,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moaafw_doaafw_cse,moaafw_doaafw_cse_ocse,470.57,4705700000.0,55361176.47058824
9,Central Sector Schemes/Projects,Agriculture Infrastructure Fund (AIF),moaafw_doaafw_cse_cssp,moaafw_doaafw_cse_cssp_aifa,500.0,5000000000.0,58823529.4117647
10,Central Sector Schemes/Projects,Crop Insurance Scheme,moaafw_doaafw_cse_cssp,moaafw_doaafw_cse_cssp_cis,13625.0,136250000000.0,1602941176.4705882
11,Central Sector Schemes/Projects,Distribution of Pulses to State / Union Territories for Welfare Schemes,moaafw_doaafw_cse_cssp,moaafw_doaafw_cse_cssp_doptsutfws,800.0,8000000000.0,94117647.05882353
12,Central Sector Schemes/Projects,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",moaafw_doaafw_cse_cssp,moaafw_doaafw_cse_cssp_fapo10fpof,955.0,9550000000.0,112352941.1764706
13,Central Sector Schemes/Projects,Modified Interest Subvention Scheme (MISS),moaafw_doaafw_cse_cssp,moaafw_doaafw_cse_cssp_missm,23000.0,230000000000.0,2705882352.9411764
14,Central Sector Schemes/Projects,Pradhan Mantri Kisan Man Dhan Yojana,moaafw_doaafw_cse_cssp,moaafw_doaafw_cse_cssp_pmkmdy,100.0,1000000000.0,11764705.88235294
15,Central Sector Schemes/Projects,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),moaafw_doaafw_cse_cssp,moaafw_doaafw_cse_cssp_pmksnpk,60000.0,600000000000.0,7058823529.411765
16,Crop Insurance Scheme,Pradhan Mantri Fasal Bima Yojana,moaafw_doaafw_cse_cssp_cis,moaafw_doaafw_cse_cssp_cis_pmfby,13625.0,136250000000.0,1602941176.4705882
17,Other Central Sector Expenditure,Autonomous Bodies,moaafw_doaafw_cse_ocse,moaafw_doaafw_cse_ocse_ab,89.13,891300000.0,10485882.352941176
18,Other Central Sector Expenditure,Others,moaafw_doaafw_cse_ocse,moaafw_doaafw_cse_ocse_o,325.0,3250000000.0,38235294.11764706
