id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,"Ministry of Consumer Affairs, Food and Public Distribution",,mocafapd,205651.33000000002,2056513300000.0002,24194274117.64706
1,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,mocafapd,mocafapd_doca,250.66,2506600000.0,29489411.76470588
2,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,mocafapd,mocafapd_dofapd,205400.67,2054006700000.0002,24164784705.882355
3,Department of Consumer Affairs,CENTRE'S EXPENDITURE,mocafapd_doca,mocafapd_doca_cse,250.66,2506600000.0,29489411.76470588
4,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mocafapd_doca_cse,mocafapd_doca_cse_cssp,113.5,1135000000.0,13352941.176470589
5,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mocafapd_doca_cse,mocafapd_doca_cse_eeotc,137.16,1371600000.0,16136470.588235294
6,Central Sector Schemes/Projects,Consumer Protection,mocafapd_doca_cse_cssp,mocafapd_doca_cse_cssp_cp,68.0,680000000.0,8000000.0
7,Central Sector Schemes/Projects,Legal Metrology and Quality Assurance,mocafapd_doca_cse_cssp,mocafapd_doca_cse_cssp_lmaqa,45.5,455000000.0,5352941.176470588
8,Consumer Protection,CONFONET,mocafapd_doca_cse_cssp_cp,mocafapd_doca_cse_cssp_cp_c,38.589999999999996,385899999.99999994,4539999.999999999
9,Consumer Protection,Unallocated,mocafapd_doca_cse_cssp_cp,mocafapd_doca_cse_cssp_cp_u,29.410000000000004,294100000.00000006,3460000.000000001
10,CONFONET,Consumer Awareness (Advertising and Publicity),mocafapd_doca_cse_cssp_cp_c,mocafapd_doca_cse_cssp_cp_c_caaap,17.99,179899999.99999997,2116470.588235294
11,CONFONET,Consumer Protection Cell,mocafapd_doca_cse_cssp_cp_c,mocafapd_doca_cse_cssp_cp_c_cpc,7.6,76000000.0,894117.6470588235
