name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Coast Guard Organisation,,,7197.47,0.8467611764705882
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Border Roads Development Board Secretariat,,,4174.75,0.49114705882352944
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat General Services,,,2852.87,0.33563176470588235
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Jammu  and Kashmir Light Infantry,,,1797.71,0.21149529411764706
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Defence Estates Organisation,,,615.76,0.07244235294117647
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Armed Forces Tribunal,,,49.0,0.005764705882352941
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Works executed by Border Roads Development Board,Works under Border Roads Development Board,,5000.0,0.5882352941176471
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Works executed by Border Roads Development Board,Other works,Gross Budgetary Support,950.0,0.11176470588235295
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Works executed by Border Roads Development Board,Grants to States for Strategic Roads,Gross Budgetary Support,55.0,0.006470588235294118
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Housing,Maintenance and Repairs to Defence Accounts Department/Defence  Estates Organisation/Canteen Stores Deparment Staff Quarters,67.44,0.007934117647058822
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Housing,Residential Housing facilities to Defence Accounts Department/Defence Estate Orgnaisation/Canteen Stores Department -Staff Quaters,24.55,0.002888235294117647
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Public Works,Capital Outlay for construction of Defence Accounts Department/Defence Estates Organisation/Armed Forces Tribunal- Other Buildings,55.5,0.0065294117647058825
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Public Works,Miscellaneous Loans,1.5,0.00017647058823529413
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Public Works,Canteen Stores Department,-229.05,-0.02694705882352941
