name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Finance
Demand No. 35
Department of Revenue",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Compensation to States/UTs for revenue losses on roll out of GST,,145000.0,17.058823529411764
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,User Charges to GSTN(Goods and Services Tax Network),296.0,0.034823529411764705
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Opium and Alkaloid Factories,61.93,0.007285882352941177
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Other Expenditure,58.07,0.006831764705882353
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International Cooperation,13.7,0.001611764705882353
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,Capital Outlay for Other Fiscal Services,42.71,0.005024705882352941
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Institute of Public Finance and Policy,10.5,0.0012352941176470588
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Enforcement Directorate,,,404.57,0.047596470588235296
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Narcotics Control,,,49.92,0.005872941176470588
"Ministry of Finance
Demand No. 35
Department of Revenue",CENTRE'S EXPENDITURE,Special Investigation Team (SIT),,,2.91,0.0003423529411764706
