name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Social Security Schemes for Workers,"Employees Pension Scheme, 1995",9167.0,1.078470588235294
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Social Security Schemes for Workers,Aatmanirbhar Bharat Rojgar Yojana,2272.82,0.2673905882352941
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Social Security Schemes for Workers,Pradhan Mantri Shram Yogi Maandhan,350.0,0.041176470588235294
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Social Security Schemes for Workers,National database for Unorganized Workers,300.0,0.03529411764705882
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Social Security Schemes for Workers,Social Security for Plantation Workers in Assam,60.0,0.007058823529411765
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Social Security Schemes for Workers,Pradhan Mantri Karam Yogi Maandhan,3.0,0.00035294117647058826
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Labour Welfare Scheme,,75.0,0.008823529411764706
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Career Services,,52.0,0.00611764705882353
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Coaching and Guidance for SC,ST and Other Backward Classes",,25.0,0.0029411764705882353
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,,20.0,0.0023529411764705885
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Dattopant Thengadi National Board for Workers Education and Development,113.1,0.013305882352941176
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Labour Institute,13.9,0.0016352941176470588
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Directorate General of Labour Welfare Scheme,,,175.78,0.02068
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,"Other Expenditure related to Chief Labour Commissioner,Central Government Industrial Tribunal, Research and Information Technology",,,117.77,0.01385529411764706
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Directorate General of Mines Safety (DGMS),,,109.08,0.012832941176470589
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Directorate General of Employment,,,70.22,0.008261176470588235
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,Direcorate General of Factory Advice Services (DGFASLI),,,39.1,0.0046
"Ministry of Labour and Employment
Demand No. 64
Ministry of Labour and Employment",CENTRE'S EXPENDITURE,International Cooperation,,,27.0,0.003176470588235294
