id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Development of North Eastern Region,,modoner,5892.0,58920000000.0,693176470.5882353
1,Ministry of Development of North Eastern Region,Ministry of Development of North Eastern Region,modoner,modoner_modoner,5892.0,58920000000.0,693176470.5882353
2,Ministry of Development of North Eastern Region,CENTRE'S EXPENDITURE,modoner_modoner,modoner_modoner_cse,5892.0,58920000000.0,693176470.5882353
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,modoner_modoner_cse,modoner_modoner_cse_cssp,5851.0,58510000000.0,688352941.1764706
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,modoner_modoner_cse,modoner_modoner_cse_eeotc,31.33,313300000.0,3685882.3529411764
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,modoner_modoner_cse,modoner_modoner_cse_ocse,9.67,96700000.0,1137647.0588235294
6,Central Sector Schemes/Projects,Central Pool of Resources for North East and Sikkim,modoner_modoner_cse_cssp,modoner_modoner_cse_cssp_cporfneas,2491.0,24910000000.0,293058823.5294118
7,Central Sector Schemes/Projects,North East Enterprise Development Scheme (NEEDS) erstwhile Loan to North East Development Finance Corporation,modoner_modoner_cse_cssp,modoner_modoner_cse_cssp_needsneltnedfc,60.0,600000000.0,7058823.529411765
8,Central Sector Schemes/Projects,Prime Minister's Development Initiative for North East Region (PM-DevINE),modoner_modoner_cse_cssp,modoner_modoner_cse_cssp_pmsdifnerpd,2200.0,22000000000.0,258823529.4117647
9,Central Sector Schemes/Projects,Special Development Packages,modoner_modoner_cse_cssp,modoner_modoner_cse_cssp_sdp,300.0,3000000000.0,35294117.64705882
10,Central Sector Schemes/Projects,Schemes of North East Council,modoner_modoner_cse_cssp,modoner_modoner_cse_cssp_sonec,800.0,8000000000.0,94117647.05882353
11,Central Pool of Resources for North East and Sikkim,North East Special Infrastructure Development Scheme (NESIDS),modoner_modoner_cse_cssp_cporfneas,modoner_modoner_cse_cssp_cporfneas_nesidsn,2491.0,24910000000.0,293058823.5294118
12,North East Special Infrastructure Development Scheme (NESIDS),NESIDS Programme,modoner_modoner_cse_cssp_cporfneas_nesidsn,modoner_modoner_cse_cssp_cporfneas_nesidsn_np,2491.0,24910000000.0,293058823.5294118
13,Special Development Packages,Special package for Bodoland Territorial Council (BTC),modoner_modoner_cse_cssp_sdp,modoner_modoner_cse_cssp_sdp_spfbtcb,100.0,1000000000.0,11764705.88235294
14,Special Development Packages,Special package for Dima Hasao (DHATC),modoner_modoner_cse_cssp_sdp,modoner_modoner_cse_cssp_sdp_spfdhd,100.0,1000000000.0,11764705.88235294
15,Special Development Packages,Special package for Karbi Anglong (KAATC),modoner_modoner_cse_cssp_sdp,modoner_modoner_cse_cssp_sdp_spfkak,100.0,1000000000.0,11764705.88235294
16,Schemes of North East Council,Schemes of North East Council,modoner_modoner_cse_cssp_sonec,modoner_modoner_cse_cssp_sonec_sonec,800.0,8000000000.0,94117647.05882353
17,Establishment Expenditure of the Centre,Secretariat,modoner_modoner_cse_eeotc,modoner_modoner_cse_eeotc_s,31.33,313300000.0,3685882.3529411764
18,Other Central Sector Expenditure,Public Sector Undertakings,modoner_modoner_cse_ocse,modoner_modoner_cse_ocse_psu,9.67,96700000.0,1137647.0588235294
19,Public Sector Undertakings,North Eastern Handicrafts and Handlooms Development Corporation Ltd,modoner_modoner_cse_ocse_psu,modoner_modoner_cse_ocse_psu_nehahdcl,2.0,20000000.0,235294.11764705883
20,Public Sector Undertakings,North East Regional Agricultural Marketing Corporation,modoner_modoner_cse_ocse_psu,modoner_modoner_cse_ocse_psu_neramc,7.67,76700000.0,902352.9411764706
