id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of New and Renewable Energy,,monare,10222.0,102220000000.0,1202588235.2941177
1,Ministry of New and Renewable Energy,Ministry of New and Renewable Energy,monare,monare_monare,10222.0,102220000000.0,1202588235.2941177
2,Ministry of New and Renewable Energy,CENTRE'S EXPENDITURE,monare_monare,monare_monare_cse,10222.0,102220000000.0,1202588235.2941177
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,monare_monare_cse,monare_monare_cse_cssp,9874.81,98748100000.0,1161742352.9411764
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,monare_monare_cse,monare_monare_cse_eeotc,65.19,651900000.0,7669411.764705882
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,monare_monare_cse,monare_monare_cse_ocse,282.0,2820000000.0,33176470.588235293
6,Central Sector Schemes/Projects,Hydrogen Mission,monare_monare_cse_cssp,monare_monare_cse_cssp_hm,297.0,2970000000.0,34941176.47058824
7,Central Sector Schemes/Projects,Programme for Wind and other Renewable Energy,monare_monare_cse_cssp,monare_monare_cse_cssp_pfwaore,1245.0,12450000000.0,146470588.2352941
8,Central Sector Schemes/Projects,Storage and Transmission,monare_monare_cse_cssp,monare_monare_cse_cssp_sat,1004.85,10048500000.0,118217647.05882353
9,Central Sector Schemes/Projects,Solar Energy,monare_monare_cse_cssp,monare_monare_cse_cssp_se,7327.96,73279600000.0,862112941.1764706
10,Programme for Wind and other Renewable Energy,Hydro Power (Grid),monare_monare_cse_cssp_pfwaore,monare_monare_cse_cssp_pfwaore_hpg,30.0,300000000.0,3529411.7647058824
11,Programme for Wind and other Renewable Energy,Hydro Power (Off-Grid),monare_monare_cse_cssp_pfwaore,monare_monare_cse_cssp_pfwaore_hpog,1.0,10000000.0,117647.05882352941
12,Programme for Wind and other Renewable Energy,Wind Power (Grid),monare_monare_cse_cssp_pfwaore,monare_monare_cse_cssp_pfwaore_wpg,1214.0,12140000000.0,142823529.4117647
13,Storage and Transmission,Bio Energy Programme,monare_monare_cse_cssp_sat,monare_monare_cse_cssp_sat_bep,381.85,3818500000.0,44923529.4117647
14,Storage and Transmission,Green Energy Corridor,monare_monare_cse_cssp_sat,monare_monare_cse_cssp_sat_gec,500.0,5000000000.0,58823529.4117647
15,Storage and Transmission,Support Programme,monare_monare_cse_cssp_sat,monare_monare_cse_cssp_sat_sp,123.0,1230000000.0,14470588.235294119
16,Bio Energy Programme,Bio-Power ( Grid ),monare_monare_cse_cssp_sat_bep,monare_monare_cse_cssp_sat_bep_bpg,159.0,1590000000.0,18705882.352941178
17,Bio Energy Programme,Bio-Power ( Off-Grid ),monare_monare_cse_cssp_sat_bep,monare_monare_cse_cssp_sat_bep_bpog,127.85,1278500000.0,15041176.470588235
18,Bio Energy Programme,Biogas Programme ( Off-Grid ),monare_monare_cse_cssp_sat_bep,monare_monare_cse_cssp_sat_bep_bpog,95.0,950000000.0,11176470.588235294
19,Support Programme,Human Resources Development and Training,monare_monare_cse_cssp_sat_sp,monare_monare_cse_cssp_sat_sp_hrdat,47.0,470000000.0,5529411.764705882
20,Support Programme,Information and Public Advertising (I&PA),monare_monare_cse_cssp_sat_sp,monare_monare_cse_cssp_sat_sp_iapaip,6.0,60000000.0,705882.3529411765
21,Support Programme,Research and Development,monare_monare_cse_cssp_sat_sp,monare_monare_cse_cssp_sat_sp_rad,70.0,700000000.0,8235294.117647059
22,Solar Energy,Kisan Urja Suraksha evam Utthaan Mahabhiyan (KUSUM ),monare_monare_cse_cssp_se,monare_monare_cse_cssp_se_kuseumk,1996.46,19964600000.0,234877647.05882353
23,Solar Energy,Solar Power (Grid),monare_monare_cse_cssp_se,monare_monare_cse_cssp_se_spg,4970.0,49700000000.0,584705882.3529412
24,Solar Energy,Solar Power (Off-Grid),monare_monare_cse_cssp_se,monare_monare_cse_cssp_se_spog,361.5,3615000000.0,42529411.76470588
25,Establishment Expenditure of the Centre,Office Buildings,monare_monare_cse_eeotc,monare_monare_cse_eeotc_ob,5.0,50000000.0,588235.2941176471
26,Establishment Expenditure of the Centre,Secretariat,monare_monare_cse_eeotc,monare_monare_cse_eeotc_s,60.19,601900000.0,7081176.470588235
27,Other Central Sector Expenditure,Autonomous Bodies,monare_monare_cse_ocse,monare_monare_cse_ocse_ab,54.0,540000000.0,6352941.176470588
28,Other Central Sector Expenditure,Others,monare_monare_cse_ocse,monare_monare_cse_ocse_o,228.0,2280000000.0,26823529.411764707
29,Autonomous Bodies,National Institute of Bio Energy,monare_monare_cse_ocse_ab,monare_monare_cse_ocse_ab_niobe,9.5,95000000.0,1117647.0588235294
30,Autonomous Bodies,National Institute of Solar Energy,monare_monare_cse_ocse_ab,monare_monare_cse_ocse_ab_niose,20.0,200000000.0,2352941.1764705884
31,Autonomous Bodies,National Institute of Wind Energy,monare_monare_cse_ocse_ab,monare_monare_cse_ocse_ab_niowe,24.5,245000000.0,2882352.9411764704
32,Others,Assistance to International Solar Alliance,monare_monare_cse_ocse_o,monare_monare_cse_ocse_o_atisa,100.0,1000000000.0,11764705.88235294
33,Others,Interest Payment and Issuing Expenses on the Bonds,monare_monare_cse_ocse_o,monare_monare_cse_ocse_o_ipaieotb,124.35,1243500000.0,14629411.764705881
34,Others,International Relations,monare_monare_cse_ocse_o,monare_monare_cse_ocse_o_ir,3.6,36000000.0,423529.4117647059
