id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Chemicals and Fertilisers,,mocaf,178419.38,1784193800000.0,20990515294.117645
1,Ministry of Chemicals and Fertilisers,Department of Chemicals and Petrochemicals,mocaf,mocaf_docap,150.9,1509000000.0,17752941.17647059
2,Ministry of Chemicals and Fertilisers,Department of Fertilisers,mocaf,mocaf_dof,175148.48,1751484800000.0,20605703529.411766
3,Ministry of Chemicals and Fertilisers,Department of Pharmaceuticals,mocaf,mocaf_dop,3120.0,31200000000.0,367058823.5294118
4,Department of Chemicals and Petrochemicals,CENTRE'S EXPENDITURE,mocaf_docap,mocaf_docap_cse,150.9,1509000000.0,17752941.17647059
5,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mocaf_docap_cse,mocaf_docap_cse_cssp,22.0,220000000.0,2588235.294117647
6,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mocaf_docap_cse,mocaf_docap_cse_ocse,128.9,1289000000.0,15164705.88235294
7,Central Sector Schemes/Projects,New Schemes of Petrochemicals,mocaf_docap_cse_cssp,mocaf_docap_cse_cssp_nsop,22.0,220000000.0,2588235.294117647
8,Other Central Sector Expenditure,Autonomous Bodies,mocaf_docap_cse_ocse,mocaf_docap_cse_ocse_ab,105.5,1055000000.0,12411764.705882354
9,Other Central Sector Expenditure,Statutory and Regulatory Bodies,mocaf_docap_cse_ocse,mocaf_docap_cse_ocse_sarb,23.4,234000000.0,2752941.1764705884
10,Autonomous Bodies,Central Institute of Petrochemicals Engineering and Technology (CIPET),mocaf_docap_cse_ocse_ab,mocaf_docap_cse_ocse_ab_ciopeatc,92.88,928800000.0,10927058.823529411
11,Autonomous Bodies,Institute of Pesticides Formulation Technology (IPFT),mocaf_docap_cse_ocse_ab,mocaf_docap_cse_ocse_ab_iopfti,12.62,126199999.99999999,1484705.882352941
12,Statutory and Regulatory Bodies,Assistance related to Bhopal Gas Leak Disaster,mocaf_docap_cse_ocse_sarb,mocaf_docap_cse_ocse_sarb_artbgld,23.4,234000000.0,2752941.1764705884
13,Department of Fertilisers,CENTRE'S EXPENDITURE,mocaf_dof,mocaf_dof_cse,175148.48,1751484800000.0,20605703529.411766
14,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mocaf_dof_cse,mocaf_dof_cse_cssp,175103.37,1751033700000.0,20600396470.588234
15,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mocaf_dof_cse,mocaf_dof_cse_eeotc,44.95,449500000.0,5288235.294117647
16,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mocaf_dof_cse,mocaf_dof_cse_ocse,0.16,1600000.0,18823.529411764706
17,Central Sector Schemes/Projects,Nutrient Based Subsidy,mocaf_dof_cse_cssp,mocaf_dof_cse_cssp_nbs,44000.0,440000000000.0,5176470588.235294
18,Central Sector Schemes/Projects,Scheme for promotion of flagging of merchant ships in India,mocaf_dof_cse_cssp,mocaf_dof_cse_cssp_sfpofomsii,3.25,32500000.0,382352.9411764706
19,Central Sector Schemes/Projects,Urea Subsidy,mocaf_dof_cse_cssp,mocaf_dof_cse_cssp_us,131100.12,1311001200000.0,15423543529.411764
20,Nutrient Based Subsidy,Payment for Indigenous P and K Fertilizers,mocaf_dof_cse_cssp_nbs,mocaf_dof_cse_cssp_nbs_pfipakf,25500.0,255000000000.0,3000000000.0
21,Nutrient Based Subsidy,Payment for Imported P and K Fertilizers,mocaf_dof_cse_cssp_nbs,mocaf_dof_cse_cssp_nbs_pfipakf,18500.0,185000000000.0,2176470588.2352943
22,Establishment Expenditure of the Centre,Secretariat,mocaf_dof_cse_eeotc,mocaf_dof_cse_eeotc_s,44.95,449500000.0,5288235.294117647
23,Department of Pharmaceuticals,CENTRE'S EXPENDITURE,mocaf_dop,mocaf_dop_cse,3120.0,31200000000.0,367058823.5294118
