id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,"Ministry of Environment, Forests and Climate Change",,moefacc,2669.46,26694600000.0,314054117.64705884
1,"Ministry of Environment, Forests and Climate Change","Ministry of Environment, Forests and Climate Change",moefacc,moefacc_moefacc,2669.46,26694600000.0,314054117.64705884
2,"Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,moefacc_moefacc,moefacc_moefacc_cse,1910.6599999999999,19106600000.0,224783529.4117647
3,"Ministry of Environment, Forests and Climate Change",TRANSFERS TO STATES/UTs,moefacc_moefacc,moefacc_moefacc_ttsu,758.8,7588000000.0,89270588.23529412
4,CENTRE'S EXPENDITURE,Botanical Survey of India,moefacc_moefacc_cse,moefacc_moefacc_cse_bsoi,136.0,1360000000.0,16000000.0
5,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moefacc_moefacc_cse,moefacc_moefacc_cse_cssp,948.76,9487600000.0,111618823.52941176
6,CENTRE'S EXPENDITURE,Forest Survey of India,moefacc_moefacc_cse,moefacc_moefacc_cse_fsoi,43.0,430000000.0,5058823.529411765
7,CENTRE'S EXPENDITURE,Indira Gandhi National Forest Academy,moefacc_moefacc_cse,moefacc_moefacc_cse_ignfa,52.0,520000000.0,6117647.05882353
8,CENTRE'S EXPENDITURE,National Green Tribunal,moefacc_moefacc_cse,moefacc_moefacc_cse_ngt,60.0,600000000.0,7058823.529411765
9,CENTRE'S EXPENDITURE,National Museum of Natural History,moefacc_moefacc_cse,moefacc_moefacc_cse_nmonh,20.0,200000000.0,2352941.1764705884
10,CENTRE'S EXPENDITURE,National Zoological Park,moefacc_moefacc_cse,moefacc_moefacc_cse_nzp,27.0,270000000.0,3176470.588235294
11,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moefacc_moefacc_cse,moefacc_moefacc_cse_ocse,468.4,4684000000.0,55105882.35294118
12,CENTRE'S EXPENDITURE,State Forest Service and Rangers College,moefacc_moefacc_cse,moefacc_moefacc_cse_sfsarc,38.0,380000000.0,4470588.235294118
13,CENTRE'S EXPENDITURE,Wildlife Crime Control Bureau,moefacc_moefacc_cse,moefacc_moefacc_cse_wccb,13.5,135000000.0,1588235.294117647
14,CENTRE'S EXPENDITURE,Zoological Survey of India,moefacc_moefacc_cse,moefacc_moefacc_cse_zsoi,104.0,1040000000.0,12235294.11764706
15,Central Sector Schemes/Projects,Control of Pollution,moefacc_moefacc_cse_cssp,moefacc_moefacc_cse_cssp_cop,756.0,7560000000.0,88941176.47058824
16,Central Sector Schemes/Projects,"Environment Education, Awareness, Research and Skill Development",moefacc_moefacc_cse_cssp,moefacc_moefacc_cse_cssp_eearasd,87.4,874000000.0,10282352.94117647
17,Central Sector Schemes/Projects,Environmental Knowledge and Capacity Building,moefacc_moefacc_cse_cssp,moefacc_moefacc_cse_cssp_ekacb,92.86,928600000.0,10924705.88235294
18,Central Sector Schemes/Projects,National Coastal Management Programme,moefacc_moefacc_cse_cssp,moefacc_moefacc_cse_cssp_ncmp,12.5,125000000.0,1470588.2352941176
19,National Coastal Management Programme,National Coastal Mission (NCM),moefacc_moefacc_cse_cssp_ncmp,moefacc_moefacc_cse_cssp_ncmp_ncmn,12.5,125000000.0,1470588.2352941176
20,National Coastal Mission (NCM),Programme Component,moefacc_moefacc_cse_cssp_ncmp_ncmn,moefacc_moefacc_cse_cssp_ncmp_ncmn_pc,12.5,125000000.0,1470588.2352941176
21,Other Central Sector Expenditure,Autonomous Bodies,moefacc_moefacc_cse_ocse,moefacc_moefacc_cse_ocse_ab,309.0,3090000000.0,36352941.176470585
22,Other Central Sector Expenditure,Statutory and Regulatory Bodies,moefacc_moefacc_cse_ocse,moefacc_moefacc_cse_ocse_sarb,159.4,1594000000.0,18752941.17647059
23,Autonomous Bodies,GB Pant Himalayan Institue of Environment and Development,moefacc_moefacc_cse_ocse_ab,moefacc_moefacc_cse_ocse_ab_gphioead,25.0,250000000.0,2941176.470588235
24,Autonomous Bodies,Indian Council of Forestry Research and Education,moefacc_moefacc_cse_ocse_ab,moefacc_moefacc_cse_ocse_ab_icofrae,230.0,2300000000.0,27058823.529411763
25,Autonomous Bodies,Indian Institute of Forest Management,moefacc_moefacc_cse_ocse_ab,moefacc_moefacc_cse_ocse_ab_iiofm,17.5,175000000.0,2058823.5294117648
26,Autonomous Bodies,Wildlife Institute of India,moefacc_moefacc_cse_ocse_ab,moefacc_moefacc_cse_ocse_ab_wioi,36.5,365000000.0,4294117.647058823
27,Statutory and Regulatory Bodies,Commission for Air Quality Management,moefacc_moefacc_cse_ocse_sarb,moefacc_moefacc_cse_ocse_sarb_cfaqm,17.0,170000000.0,2000000.0
28,Statutory and Regulatory Bodies,Central Pollution Control Board,moefacc_moefacc_cse_ocse_sarb,moefacc_moefacc_cse_ocse_sarb_cpcb,105.0,1050000000.0,12352941.176470589
29,Statutory and Regulatory Bodies,Central Zoo Authority,moefacc_moefacc_cse_ocse_sarb,moefacc_moefacc_cse_ocse_sarb_cza,10.0,100000000.0,1176470.5882352942
30,Statutory and Regulatory Bodies,National Biodiversity Authority,moefacc_moefacc_cse_ocse_sarb,moefacc_moefacc_cse_ocse_sarb_nba,16.4,164000000.0,1929411.7647058824
31,Statutory and Regulatory Bodies,National Tiger Conservation Authority,moefacc_moefacc_cse_ocse_sarb,moefacc_moefacc_cse_ocse_sarb_ntca,11.0,110000000.0,1294117.6470588236
32,TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,moefacc_moefacc_ttsu,moefacc_moefacc_ttsu_css,758.8,7588000000.0,89270588.23529412
33,Centrally Sponsored Schemes,"Environment, Forestry and Wildlife",moefacc_moefacc_ttsu_css,moefacc_moefacc_ttsu_css_efaw,758.8,7588000000.0,89270588.23529412
34,"Environment, Forestry and Wildlife",Conservation of Natural Resources and Ecosystems,moefacc_moefacc_ttsu_css_efaw,moefacc_moefacc_ttsu_css_efaw_conrae,47.0,470000000.0,5529411.764705882
35,"Environment, Forestry and Wildlife",Integrated Development of Wildlife Habitats,moefacc_moefacc_ttsu_css_efaw,moefacc_moefacc_ttsu_css_efaw_idowh,491.8,4918000000.0,57858823.52941176
36,"Environment, Forestry and Wildlife",National Mission for a Green India,moefacc_moefacc_ttsu_css_efaw,moefacc_moefacc_ttsu_css_efaw_nmfagi,220.0,2200000000.0,25882352.94117647
37,Conservation of Natural Resources and Ecosystems,Biodiversity Conservation,moefacc_moefacc_ttsu_css_efaw_conrae,moefacc_moefacc_ttsu_css_efaw_conrae_bc,7.0,70000000.0,823529.4117647059
38,Conservation of Natural Resources and Ecosystems,Conservation of Aquatic Ecosystems,moefacc_moefacc_ttsu_css_efaw_conrae,moefacc_moefacc_ttsu_css_efaw_conrae_coae,38.4,384000000.0,4517647.05882353
39,Conservation of Natural Resources and Ecosystems,Conservation of Aquatic Ecosystems (EAP Component),moefacc_moefacc_ttsu_css_efaw_conrae,moefacc_moefacc_ttsu_css_efaw_conrae_coaeec,1.6,16000000.0,188235.29411764705
40,Integrated Development of Wildlife Habitats,Development of Wildlife Habitats,moefacc_moefacc_ttsu_css_efaw_idowh,moefacc_moefacc_ttsu_css_efaw_idowh_dowh,135.0,1350000000.0,15882352.94117647
41,Integrated Development of Wildlife Habitats,Development of Wildlife Habitats (EAP Component),moefacc_moefacc_ttsu_css_efaw_idowh,moefacc_moefacc_ttsu_css_efaw_idowh_dowhec,25.0,250000000.0,2941176.470588235
