id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,"Ministry of Fisheries, Animal Husbandry and Dairying",,mofahad,6576.620000000001,65766200000.00001,773720000.0000001
1,"Ministry of Fisheries, Animal Husbandry and Dairying",Department of Animal Husbandry and Dairying,mofahad,mofahad_doahad,4327.85,43278500000.0,509158823.5294118
2,"Ministry of Fisheries, Animal Husbandry and Dairying",Department of Fisheries,mofahad,mofahad_dof,2248.77,22487700000.0,264561176.47058824
3,Department of Animal Husbandry and Dairying,CENTRE'S EXPENDITURE,mofahad_doahad,mofahad_doahad_cse,2921.92,29219200000.0,343755294.11764705
4,Department of Animal Husbandry and Dairying,TRANSFERS TO STATES/UTs,mofahad_doahad,mofahad_doahad_ttsu,1405.93,14059300000.0,165403529.4117647
5,CENTRE'S EXPENDITURE,Animal Health Institute,mofahad_doahad_cse,mofahad_doahad_cse_ahi,27.0,270000000.0,3176470.588235294
6,CENTRE'S EXPENDITURE,Breed Improvement Institute,mofahad_doahad_cse,mofahad_doahad_cse_bii,60.0,600000000.0,7058823.529411765
7,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mofahad_doahad_cse,mofahad_doahad_cse_cssp,2689.71,26897100000.0,316436470.5882353
8,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mofahad_doahad_cse,mofahad_doahad_cse_ocse,43.81,438100000.0,5154117.647058823
9,CENTRE'S EXPENDITURE,Small Livestock Institute,mofahad_doahad_cse,mofahad_doahad_cse_sli,45.0,450000000.0,5294117.647058823
10,CENTRE'S EXPENDITURE,Total - Secretariat,mofahad_doahad_cse,mofahad_doahad_cse_ts,56.4,564000000.0,6635294.117647059
11,Central Sector Schemes/Projects,Infrastructure Development Fund,mofahad_doahad_cse_cssp,mofahad_doahad_cse_cssp_idf,340.0,3400000000.0,40000000.0
12,Central Sector Schemes/Projects,Livestock Health and Disease Control Programme,mofahad_doahad_cse_cssp,mofahad_doahad_cse_cssp_lhadcp,2349.71,23497100000.0,276436470.5882353
13,Other Central Sector Expenditure,Autonomous Bodies,mofahad_doahad_cse_ocse,mofahad_doahad_cse_ocse_ab,30.3,303000000.0,3564705.882352941
14,Other Central Sector Expenditure,Statutory and Regulatory Bodies,mofahad_doahad_cse_ocse,mofahad_doahad_cse_ocse_sarb,13.51,135100000.0,1589411.7647058824
15,Autonomous Bodies,Veterinary Council of India,mofahad_doahad_cse_ocse_ab,mofahad_doahad_cse_ocse_ab_vcoi,30.3,303000000.0,3564705.882352941
16,Statutory and Regulatory Bodies,Animal Welfare Board,mofahad_doahad_cse_ocse_sarb,mofahad_doahad_cse_ocse_sarb_awb,12.0,120000000.0,1411764.705882353
17,Statutory and Regulatory Bodies,Committee for the purpose of Control and Supervision of experiments on Animal (CPCSEA),mofahad_doahad_cse_ocse_sarb,mofahad_doahad_cse_ocse_sarb_cftpocasoeoac,1.51,15100000.0,177647.0588235294
18,TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,mofahad_doahad_ttsu,mofahad_doahad_ttsu_css,1405.93,14059300000.0,165403529.4117647
19,Centrally Sponsored Schemes,Development Programmes,mofahad_doahad_ttsu_css,mofahad_doahad_ttsu_css_dp,1405.93,14059300000.0,165403529.4117647
20,Development Programmes,Dairy Development,mofahad_doahad_ttsu_css_dp,mofahad_doahad_ttsu_css_dp_dd,326.93,3269300000.0,38462352.941176474
21,Development Programmes,Dairying Through Cooperatives (EAP),mofahad_doahad_ttsu_css_dp,mofahad_doahad_ttsu_css_dp_dtce,19.0,190000000.0,2235294.117647059
22,Development Programmes,Livestock Census and Integrated Sample Survey,mofahad_doahad_ttsu_css_dp,mofahad_doahad_ttsu_css_dp_lcaiss,50.0,500000000.0,5882352.94117647
23,Development Programmes,National Livestock Mission,mofahad_doahad_ttsu_css_dp,mofahad_doahad_ttsu_css_dp_nlm,410.0,4100000000.0,48235294.11764706
24,Development Programmes,Rashtriya Gokul Mission,mofahad_doahad_ttsu_css_dp,mofahad_doahad_ttsu_css_dp_rgm,600.0,6000000000.0,70588235.29411764
25,Department of Fisheries,CENTRE'S EXPENDITURE,mofahad_dof,mofahad_dof_cse,223.76999999999998,2237700000.0,26325882.352941178
26,Department of Fisheries,TRANSFERS TO STATES/UTs,mofahad_dof,mofahad_dof_ttsu,2025.0,20250000000.0,238235294.11764705
27,CENTRE'S EXPENDITURE,Fisheries Institute,mofahad_dof_cse,mofahad_dof_cse_fi,169.24,1692400000.0,19910588.23529412
28,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mofahad_dof_cse,mofahad_dof_cse_ocse,24.2,242000000.0,2847058.8235294116
29,CENTRE'S EXPENDITURE,Total - Secretariat,mofahad_dof_cse,mofahad_dof_cse_ts,30.33,303300000.0,3568235.294117647
30,Other Central Sector Expenditure,Autonomous Bodies,mofahad_dof_cse_ocse,mofahad_dof_cse_ocse_ab,19.0,190000000.0,2235294.117647059
31,Other Central Sector Expenditure,Statutory and Regulatory Bodies,mofahad_dof_cse_ocse,mofahad_dof_cse_ocse_sarb,5.2,52000000.0,611764.7058823529
32,Autonomous Bodies,National Fisheries Development Board,mofahad_dof_cse_ocse_ab,mofahad_dof_cse_ocse_ab_nfdb,19.0,190000000.0,2235294.117647059
33,Statutory and Regulatory Bodies,Coastal Aquaculture Authority,mofahad_dof_cse_ocse_sarb,mofahad_dof_cse_ocse_sarb_caa,5.2,52000000.0,611764.7058823529
34,TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,mofahad_dof_ttsu,mofahad_dof_ttsu_css,2025.0,20250000000.0,238235294.11764705
35,Centrally Sponsored Schemes,Blue Revolution,mofahad_dof_ttsu_css,mofahad_dof_ttsu_css_br,2025.0,20250000000.0,238235294.11764705
36,Blue Revolution,Fisheries and Aquaculture Infrastructure Development Fund,mofahad_dof_ttsu_css_br,mofahad_dof_ttsu_css_br_faaidf,25.0,250000000.0,2941176.470588235
37,Blue Revolution,Pradhan Mantri Matsya Sampada Yojana ( PMMSY),mofahad_dof_ttsu_css_br,mofahad_dof_ttsu_css_br_pmmsyp,2000.0,20000000000.0,235294117.6470588
