id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Housing and Urban Affairs,,mohaua,76431.6,764316000000.0,8991952941.17647
1,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs,mohaua,mohaua_mohaua,76431.6,764316000000.0,8991952941.17647
2,Ministry of Housing and Urban Affairs,CENTRE'S EXPENDITURE,mohaua_mohaua,mohaua_mohaua_cse,30328.56,303285600000.0,3568065882.352941
3,Ministry of Housing and Urban Affairs,TRANSFERS TO STATES/UTs,mohaua_mohaua,mohaua_mohaua_ttsu,46103.04,461030400000.0,5423887058.823529
4,CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,mohaua_mohaua_cse,mohaua_mohaua_cse_aoao,3421.47,34214699999.999996,402525882.35294116
5,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mohaua_mohaua_cse,mohaua_mohaua_cse_cssp,26444.96,264449600000.0,3111171764.7058825
6,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mohaua_mohaua_cse,mohaua_mohaua_cse_ocse,247.5,2475000000.0,29117647.05882353
7,CENTRE'S EXPENDITURE,Secretariat,mohaua_mohaua_cse,mohaua_mohaua_cse_s,214.63,2146300000.0,25250588.23529412
8,Attached Offices/ Autonomous Organizations,Building Material and Technology Promotion Council (BMTPC),mohaua_mohaua_cse_aoao,mohaua_mohaua_cse_aoao_bmatpcb,7.5,75000000.0,882352.9411764706
9,Attached Offices/ Autonomous Organizations,Central Public Works Department,mohaua_mohaua_cse_aoao,mohaua_mohaua_cse_aoao_cpwd,3288.25,32882500000.0,386852941.1764706
10,Attached Offices/ Autonomous Organizations,Delhi Urban Art Commission,mohaua_mohaua_cse_aoao,mohaua_mohaua_cse_aoao_duac,6.44,64400000.00000001,757647.0588235295
11,Attached Offices/ Autonomous Organizations,Grants-in-Aid for training of Municipal Employees,mohaua_mohaua_cse_aoao,mohaua_mohaua_cse_aoao_giaftome,13.5,135000000.0,1588235.294117647
12,Attached Offices/ Autonomous Organizations,National Building Organisation,mohaua_mohaua_cse_aoao,mohaua_mohaua_cse_aoao_nbo,4.32,43200000.0,508235.29411764705
13,Attached Offices/ Autonomous Organizations,National Institute of Urban Affairs,mohaua_mohaua_cse_aoao,mohaua_mohaua_cse_aoao_nioua,8.0,80000000.0,941176.4705882353
