id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Minority Affairs,,moma,2965.6,29656000000.0,348894117.64705884
1,Ministry of Minority Affairs,Ministry of Minority Affairs,moma,moma_moma,2965.6,29656000000.0,348894117.64705884
2,Ministry of Minority Affairs,CENTRE'S EXPENDITURE,moma_moma,moma_moma_cse,2355.6,23556000000.0,277129411.7647059
3,Ministry of Minority Affairs,TRANSFERS TO STATES/UTs,moma_moma,moma_moma_ttsu,610.0,6100000000.0,71764705.88235295
4,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,moma_moma_cse,moma_moma_cse_cssp,2336.5,23365000000.0,274882352.9411765
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,moma_moma_cse,moma_moma_cse_ocse,19.1,191000000.0,2247058.8235294116
6,Central Sector Schemes/Projects,Education  Empowerment,moma_moma_cse_cssp,moma_moma_cse_cssp_ee,1689.0,16890000000.0,198705882.3529412
7,Central Sector Schemes/Projects,PM-Viraasat Ka Samvardhan (PM VIKAS),moma_moma_cse_cssp,moma_moma_cse_cssp_pvkspv,540.0,5400000000.0,63529411.76470588
8,Central Sector Schemes/Projects,Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,moma_moma_cse_cssp,moma_moma_cse_cssp_qwbtsaswsvy,17.0,170000000.0,2000000.0
9,Central Sector Schemes/Projects,Skill  Development and Livelihoods,moma_moma_cse_cssp,moma_moma_cse_cssp_sdal,64.4,644000000.0,7576470.588235294
10,Central Sector Schemes/Projects,Special  Programmes of Minorities,moma_moma_cse_cssp,moma_moma_cse_cssp_spom,26.1,261000000.0,3070588.2352941176
11,Education  Empowerment,Free Coaching and allied schemes for Minorities,moma_moma_cse_cssp_ee,moma_moma_cse_cssp_ee_fcaasfm,30.0,300000000.0,3529411.7647058824
12,Education  Empowerment,Interest Subsidy on Educational loans for Overseas Studies,moma_moma_cse_cssp_ee,moma_moma_cse_cssp_ee_isoelfos,21.0,210000000.0,2470588.2352941176
13,Education  Empowerment,Maulana Azad National Fellowship for Minority Students,moma_moma_cse_cssp_ee,moma_moma_cse_cssp_ee_manffms,96.0,960000000.0,11294117.647058824
14,Education  Empowerment,Merit-cum-Means Scholarship for professional and technical courses (under graduate and post-graduate),moma_moma_cse_cssp_ee,moma_moma_cse_cssp_ee_mcmsfpatcugapg,44.0,440000000.0,5176470.588235294
15,Education  Empowerment,Post-Matric Scholarship for Minorities,moma_moma_cse_cssp_ee,moma_moma_cse_cssp_ee_pmsfm,1065.0,10650000000.0,125294117.64705883
16,Education  Empowerment,Pre-Matric Scholarship for Minorities,moma_moma_cse_cssp_ee,moma_moma_cse_cssp_ee_pmsfm,433.0,4330000000.0,50941176.47058824
17,PM-Viraasat Ka Samvardhan (PM VIKAS),PM-VIKAS Committed Liabilities,moma_moma_cse_cssp_pvkspv,moma_moma_cse_cssp_pvkspv_pvcl,540.0,5400000000.0,63529411.76470588
18,Skill  Development and Livelihoods,Equity contribution to National Minorities Development and Finance Corporation (NMDFC),moma_moma_cse_cssp_sdal,moma_moma_cse_cssp_sdal_ectnmdafcn,61.0,610000000.0,7176470.588235294
19,Skill  Development and Livelihoods,Grants in aid to State Channelizing Agencies (SCAs) for implementation of NMDFC Programmes,moma_moma_cse_cssp_sdal,moma_moma_cse_cssp_sdal_giatscasfionp,3.0,30000000.0,352941.17647058825
20,Special  Programmes of Minorities,"Research/Studies, Publicity, Monitoring and Evaluation of development Schemes for Minorities",moma_moma_cse_cssp_spom,moma_moma_cse_cssp_spom_rspmaeodsfm,20.0,200000000.0,2352941.1764705884
21,Special  Programmes of Minorities,Scheme for containing population decline of small minority community,moma_moma_cse_cssp_spom,moma_moma_cse_cssp_spom_sfcpdosmc,6.0,60000000.0,705882.3529411765
22,Other Central Sector Expenditure,Statutory and Regulatory Bodies,moma_moma_cse_ocse,moma_moma_cse_ocse_sarb,19.0,190000000.0,2235294.117647059
23,Statutory and Regulatory Bodies,National Commission for Minorities,moma_moma_cse_ocse_sarb,moma_moma_cse_ocse_sarb_ncfm,15.0,150000000.0,1764705.8823529412
24,Statutory and Regulatory Bodies,Special Officer for Linguistic Minorities,moma_moma_cse_ocse_sarb,moma_moma_cse_ocse_sarb_soflm,4.0,40000000.0,470588.23529411765
25,TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,moma_moma_ttsu,moma_moma_ttsu_css,610.0,6100000000.0,71764705.88235295
26,Centrally Sponsored Schemes,Umbrella Programme for Development of Minorities,moma_moma_ttsu_css,moma_moma_ttsu_css_upfdom,610.0,6100000000.0,71764705.88235295
27,Umbrella Programme for Development of Minorities,Education Scheme for Madrasas and Minorities,moma_moma_ttsu_css_upfdom,moma_moma_ttsu_css_upfdom_esfmam,10.0,100000000.0,1176470.5882352942
28,Umbrella Programme for Development of Minorities,Pradhan Mantri Jan Vikas Karyakaram,moma_moma_ttsu_css_upfdom,moma_moma_ttsu_css_upfdom_pmjvk,600.0,6000000000.0,70588235.29411764
