id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Planning,,mop,824.39,8243900000.0,96987058.8235294
1,Ministry of Planning,Ministry of Planning,mop,mop_mop,824.39,8243900000.0,96987058.8235294
2,Ministry of Planning,CENTRE'S EXPENDITURE,mop_mop,mop_mop_cse,824.39,8243900000.0,96987058.8235294
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mop_mop_cse,mop_mop_cse_cssp,632.0,6320000000.0,74352941.1764706
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mop_mop_cse,mop_mop_cse_eeotc,181.09,1810900000.0,21304705.88235294
5,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mop_mop_cse,mop_mop_cse_ocse,11.3,113000000.0,1329411.7647058824
6,Central Sector Schemes/Projects,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),mop_mop_cse_cssp,mop_mop_cse_cssp_aimaiseatus,155.0,1550000000.0,18235294.11764706
7,Central Sector Schemes/Projects,Official Development Assistance for Sustainable Development Goals (EAP Component),mop_mop_cse_cssp,mop_mop_cse_cssp_odafsdgec,433.0,4330000000.0,50941176.47058824
8,Central Sector Schemes/Projects,Ongoing Programme and Schemes,mop_mop_cse_cssp,mop_mop_cse_cssp_opas,4.0,40000000.0,470588.23529411765
9,Central Sector Schemes/Projects,State Support Mission,mop_mop_cse_cssp,mop_mop_cse_cssp_ssm,40.0,400000000.0,4705882.352941177
10,Establishment Expenditure of the Centre,Development Monitoring and Evaluation Office,mop_mop_cse_eeotc,mop_mop_cse_eeotc_dmaeo,17.0,170000000.0,2000000.0
11,Establishment Expenditure of the Centre,Secretariat,mop_mop_cse_eeotc,mop_mop_cse_eeotc_s,164.09,1640900000.0,19304705.88235294
12,Other Central Sector Expenditure,Autonomous Bodies,mop_mop_cse_ocse,mop_mop_cse_ocse_ab,11.3,113000000.0,1329411.7647058824
13,Autonomous Bodies,National Institute of Labour Economics Research and Development,mop_mop_cse_ocse_ab,mop_mop_cse_ocse_ab_niolerad,11.3,113000000.0,1329411.7647058824
