id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Railways,,mor,689507.5800000001,6895075800000.001,81118538823.52942
1,Ministry of Railways,Ministry of Railways,mor,mor_mor,689507.5800000001,6895075800000.001,81118538823.52942
2,Ministry of Railways,CENTRE'S EXPENDITURE,mor_mor,mor_mor_cse,689507.5800000001,6895075800000.001,81118538823.52942
3,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mor_mor_cse,mor_mor_cse_cssp,428150.07,4281500700000.0,50370596470.588234
4,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mor_mor_cse,mor_mor_cse_eeotc,261357.51,2613575100000.0,30747942352.941177
5,Central Sector Schemes/Projects,Amount met from,mor_mor_cse_cssp,mor_mor_cse_cssp_amf,0.0,0.0,0.0
6,Central Sector Schemes/Projects,"Bridge Works, Turnnel Works and Approaches",mor_mor_cse_cssp,mor_mor_cse_cssp_bwtwaa,1255.0,12550000000.0,147647058.82352942
7,Central Sector Schemes/Projects,Computerisation,mor_mor_cse_cssp,mor_mor_cse_cssp_c,425.0,4250000000.0,50000000.0
8,Central Sector Schemes/Projects,Customer Amenities,mor_mor_cse_cssp,mor_mor_cse_cssp_ca,13355.0,133550000000.0,1571176470.5882354
9,Central Sector Schemes/Projects,Doubling,mor_mor_cse_cssp,mor_mor_cse_cssp_d,30749.4,307494000000.0,3617576470.5882354
10,Central Sector Schemes/Projects,Electrification Projects,mor_mor_cse_cssp,mor_mor_cse_cssp_ep,8070.0,80700000000.0,949411764.7058823
11,Central Sector Schemes/Projects,Gauge Conversion,mor_mor_cse_cssp,mor_mor_cse_cssp_gc,4600.0,46000000000.0,541176470.5882353
12,Central Sector Schemes/Projects,Investment in PSU/JV/SPV etc.,mor_mor_cse_cssp,mor_mor_cse_cssp_iipjse,34353.55,343535500000.0,4041594117.647059
13,Central Sector Schemes/Projects,Leased assets - Payment of Capital Component,mor_mor_cse_cssp,mor_mor_cse_cssp_lapocc,22228.57,222285700000.0,2615125882.352941
14,Central Sector Schemes/Projects,Miscellaneous Advances,mor_mor_cse_cssp,mor_mor_cse_cssp_ma,1304.93,13049300000.0,153521176.47058824
15,Central Sector Schemes/Projects,Machinery and Plant,mor_mor_cse_cssp,mor_mor_cse_cssp_map,740.0,7400000000.0,87058823.52941176
16,Central Sector Schemes/Projects,Manufacturing Suspense,mor_mor_cse_cssp,mor_mor_cse_cssp_ms,55855.18,558551800000.0,6571197647.058824
17,Central Sector Schemes/Projects,Metropolitan Transportation Projects,mor_mor_cse_cssp,mor_mor_cse_cssp_mtp,2450.0,24500000000.0,288235294.11764705
18,Central Sector Schemes/Projects,New Lines,mor_mor_cse_cssp,mor_mor_cse_cssp_nl,31850.0,318500000000.0,3747058823.529412
19,Central Sector Schemes/Projects,Other Electrical Works,mor_mor_cse_cssp,mor_mor_cse_cssp_oew,1650.0,16500000000.0,194117647.05882353
20,Central Sector Schemes/Projects,Other Specified Works,mor_mor_cse_cssp,mor_mor_cse_cssp_osw,1300.0,13000000000.0,152941176.47058824
21,Central Sector Schemes/Projects,Railway Research,mor_mor_cse_cssp,mor_mor_cse_cssp_rr,61.5,615000000.0,7235294.117647059
22,Central Sector Schemes/Projects,Rolling Stock,mor_mor_cse_cssp,mor_mor_cse_cssp_rs,37581.0,375810000000.0,4421294117.6470585
23,Central Sector Schemes/Projects,Road Safety Works - Level Crossings,mor_mor_cse_cssp,mor_mor_cse_cssp_rswlc,700.0,7000000000.0,82352941.1764706
24,Central Sector Schemes/Projects,Road Safety Works - Road Over/Under Bridges,mor_mor_cse_cssp,mor_mor_cse_cssp_rswroub,7400.0,74000000000.0,870588235.2941177
25,Central Sector Schemes/Projects,Signalling and Telecom,mor_mor_cse_cssp,mor_mor_cse_cssp_sat,4198.22,41982200000.0,493908235.2941176
26,Central Sector Schemes/Projects,Sovereign Green Fund,mor_mor_cse_cssp,mor_mor_cse_cssp_sgf,12479.0,124790000000.0,1468117647.0588236
27,Central Sector Schemes/Projects,Stores Suspense,mor_mor_cse_cssp,mor_mor_cse_cssp_ss,29512.87,295128700000.0,3472102352.9411764
28,Central Sector Schemes/Projects,Staff Welfare,mor_mor_cse_cssp,mor_mor_cse_cssp_sw,628.82,6288200000.000001,73978823.52941178
