id,source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
0,,Ministry of Science and Technology,,mosat,16361.420000000002,163614200000.00003,1924872941.176471
1,Ministry of Science and Technology,Department of Biotechnology,mosat,mosat_dob,2683.86,26838600000.0,315748235.2941176
2,Ministry of Science and Technology,Department of Scientific and Industrial Research,mosat,mosat_dosair,5746.51,57465100000.0,676060000.0
3,Ministry of Science and Technology,Department of Science and Technology,mosat,mosat_dosat,7931.05,79310500000.0,933064705.882353
4,Department of Biotechnology,CENTRE'S EXPENDITURE,mosat_dob,mosat_dob_cse,2683.86,26838600000.0,315748235.2941176
5,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mosat_dob_cse,mosat_dob_cse_cssp,1645.0,16450000000.0,193529411.7647059
6,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mosat_dob_cse,mosat_dob_cse_eeotc,46.39,463900000.0,5457647.05882353
7,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mosat_dob_cse,mosat_dob_cse_ocse,992.47,9924700000.0,116761176.47058824
8,Central Sector Schemes/Projects,Biotechnology Research and Development,mosat_dob_cse_cssp,mosat_dob_cse_cssp_brad,1345.0,13450000000.0,158235294.11764705
9,Central Sector Schemes/Projects,Industrial and Entrepreneurship Development,mosat_dob_cse_cssp,mosat_dob_cse_cssp_iaed,300.0,3000000000.0,35294117.64705882
10,Establishment Expenditure of the Centre,Secretariat,mosat_dob_cse_eeotc,mosat_dob_cse_eeotc_s,46.39,463900000.0,5457647.05882353
11,Other Central Sector Expenditure,Autonomous Bodies,mosat_dob_cse_ocse,mosat_dob_cse_ocse_ab,902.47,9024700000.0,106172941.1764706
12,Other Central Sector Expenditure,Others,mosat_dob_cse_ocse,mosat_dob_cse_ocse_o,50.0,500000000.0,5882352.94117647
13,Other Central Sector Expenditure,Public Sector Undertakings,mosat_dob_cse_ocse,mosat_dob_cse_ocse_psu,40.0,400000000.0,4705882.352941177
14,Autonomous Bodies,Assistance to Autonomous Institutions,mosat_dob_cse_ocse_ab,mosat_dob_cse_ocse_ab_atai,902.47,9024700000.0,106172941.1764706
15,Others,International Centre for Genetic Engineering and Biotechnology (ICGEB),mosat_dob_cse_ocse_o,mosat_dob_cse_ocse_o_icfgeabi,50.0,500000000.0,5882352.94117647
16,Public Sector Undertakings,Biotechnology Industry Research Assistance Council,mosat_dob_cse_ocse_psu,mosat_dob_cse_ocse_psu_birac,40.0,400000000.0,4705882.352941177
17,Department of Scientific and Industrial Research,CENTRE'S EXPENDITURE,mosat_dosair,mosat_dosair_cse,5746.51,57465100000.0,676060000.0
18,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mosat_dosair_cse,mosat_dosair_cse_cssp,45.03,450300000.0,5297647.05882353
19,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mosat_dosair_cse,mosat_dosair_cse_eeotc,18.47,184700000.0,2172941.1764705884
20,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mosat_dosair_cse,mosat_dosair_cse_ocse,5683.01,56830100000.0,668589411.7647059
21,Central Sector Schemes/Projects,Assistance to PSEs for Other Scientific Research Schemes,mosat_dosair_cse_cssp,mosat_dosair_cse_cssp_atpfosrs,21.73,217300000.0,2556470.588235294
22,Central Sector Schemes/Projects,Industrial Research and Development,mosat_dosair_cse_cssp,mosat_dosair_cse_cssp_irad,23.3,233000000.0,2741176.470588235
23,Establishment Expenditure of the Centre,Secretariat,mosat_dosair_cse_eeotc,mosat_dosair_cse_eeotc_s,18.47,184700000.0,2172941.1764705884
24,Other Central Sector Expenditure,Autonomous Bodies,mosat_dosair_cse_ocse,mosat_dosair_cse_ocse_ab,5675.51,56755100000.0,667707058.8235294
25,Other Central Sector Expenditure,Others,mosat_dosair_cse_ocse,mosat_dosair_cse_ocse_o,7.5,75000000.0,882352.9411764706
26,Autonomous Bodies,Council of Scientific and Industrial Research (CSIR),mosat_dosair_cse_ocse_ab,mosat_dosair_cse_ocse_ab_cosairc,5675.51,56755100000.0,667707058.8235294
27,Council of Scientific and Industrial Research (CSIR),Capacity Building and Human Resource Development,mosat_dosair_cse_ocse_ab_cosairc,mosat_dosair_cse_ocse_ab_cosairc_cbahrd,500.0,5000000000.0,58823529.4117647
28,Council of Scientific and Industrial Research (CSIR),National Laboratories,mosat_dosair_cse_ocse_ab_cosairc,mosat_dosair_cse_ocse_ab_cosairc_nl,5175.51,51755100000.0,608883529.4117647
29,Others,Contribution to Asian & Pacific Centre for Transfer of Technology (UN Body),mosat_dosair_cse_ocse_o,mosat_dosair_cse_ocse_o_ctapcftotub,7.5,75000000.0,882352.9411764706
30,Department of Science and Technology,CENTRE'S EXPENDITURE,mosat_dosat,mosat_dosat_cse,7931.05,79310500000.0,933064705.882353
31,CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,mosat_dosat_cse,mosat_dosat_cse_cssp,2777.0,27770000000.0,326705882.35294116
32,CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,mosat_dosat_cse,mosat_dosat_cse_eeotc,691.05,6910500000.0,81300000.0
33,CENTRE'S EXPENDITURE,Other Central Sector Expenditure,mosat_dosat_cse,mosat_dosat_cse_ocse,4463.0,44630000000.0,525058823.5294118
34,Central Sector Schemes/Projects,"Innovation, Technology Development and Deployment",mosat_dosat_cse_cssp,mosat_dosat_cse_cssp_itdad,536.6,5366000000.0,63129411.76470588
35,Central Sector Schemes/Projects,National Mission on Interdisciplinary Cyber Physical Systems,mosat_dosat_cse_cssp,mosat_dosat_cse_cssp_nmoicps,580.0,5800000000.0,68235294.11764705
36,Central Sector Schemes/Projects,Research and Development,mosat_dosat_cse_cssp,mosat_dosat_cse_cssp_rad,592.0,5920000000.0,69647058.8235294
37,Central Sector Schemes/Projects,Science and Technology Institutional and Human Capacity Building,mosat_dosat_cse_cssp,mosat_dosat_cse_cssp_satiahcb,1068.4,10684000000.0,125694117.64705883
